"trf","logFC","logCPM","LR","PValue","FDR","log2FC","isSg","miR"
"miR-3084-5p",-0.373054872936711,2.47223098413129,1.43337970551272,0.231213659765694,0.746861498055914,-0.538148611832794,"N.S.","miR-3084-5p"
"miR-9-5p",-0.186115668655411,13.2226327407784,1.4269773258297,0.232258374607714,0.746861498055914,-0.268480312128863,"N.S.","miR-9-5p"
"miR-20b-5p",-0.239205529553914,4.47593906152776,1.42129493682606,0.233190380397371,0.746861498055914,-0.345064849733261,"N.S.","miR-20b-5p"
"miR-153-5p",-0.253748639949514,4.03110215680749,1.39014248048989,0.238381039563348,0.757622201772216,-0.366043947552073,"N.S.","miR-153-5p"
"miR-191-3p",0.265207299143854,3.77992207337284,1.3814250573686,0.239858557329632,0.757622201772216,0.382573584305927,"N.S.","miR-191-3p"
"miR-344d-3p",-0.228722479143028,4.62169064820829,1.34772863878671,0.245675592036326,0.770680966798886,-0.329942572996915,"N.S.","miR-344d-3p"
"miR-126a-3p",0.1798315745864,14.4816371888526,1.33118431979739,0.248594635328672,0.774532945445795,0.259415220783873,"N.S.","miR-126a-3p"
"miR-5129-3p",-0.291981000939432,3.21651538185465,1.31753451290932,0.251035008294806,0.776474909764274,-0.421195866174257,"N.S.","miR-5129-3p"
"miR-129-5p",-0.178610273116793,11.9711874063859,1.30881868830261,0.252608649683137,0.776474909764274,-0.257653437898357,"N.S.","miR-129-5p"
"miR-6516-5p",0.252711060411412,3.84633107992455,1.27865075950451,0.258150054517762,0.778302431808191,0.364547191904036,"N.S.","miR-6516-5p"
"miR-877-5p",-0.296959960107455,3.0559698215001,1.26777313883334,0.260184853574177,0.778302431808191,-0.428378241098221,"N.S.","miR-877-5p"
"miR-224-5p",0.184407851178078,7.74922987517457,1.26137380938361,0.261391207344622,0.778302431808191,0.266016707787079,"N.S.","miR-224-5p"
"miR-29c-3p",0.195517619993712,5.81907495958851,1.25574685185467,0.262457691536419,0.778302431808191,0.282043054310452,"N.S.","miR-29c-3p"
"miR-495-3p",0.179368976621715,9.37434558773371,1.24674934913475,0.264174243351801,0.778302431808191,0.258747902191914,"N.S.","miR-495-3p"
"miR-130a-3p",0.230201330867178,4.27222069662359,1.23664383116058,0.266118851122309,0.778302431808191,0.332075883831841,"N.S.","miR-130a-3p"
"miR-770-3p",-0.175563692966028,8.84021914016542,1.23653786823878,0.266139335778794,0.778302431808191,-0.253258607545211,"N.S.","miR-770-3p"
"miR-493-5p",-0.175573538920491,8.54375692278343,1.22786376783609,0.26782288695184,0.778302431808191,-0.253272810782082,"N.S.","miR-493-5p"
"miR-708-5p",-0.208211975864227,5.03101423513702,1.22440782762542,0.268497345470948,0.778302431808191,-0.300355239689649,"N.S.","miR-708-5p"
"miR-330-3p",-0.176142659805189,7.89313897879102,1.21081157815827,0.271171450463604,0.781110215800821,-0.254093793528277,"N.S.","miR-330-3p"
"miR-106a-5p",0.327996114622659,2.5675572989691,1.18864212044798,0.275603627873144,0.785710060819589,0.473149304769112,"N.S.","miR-106a-5p"
"miR-324-5p",0.344215927978351,2.40844447027364,1.18304891492757,0.27673617005145,0.785710060819589,0.496547122824241,"N.S.","miR-324-5p"
"miR-10a-3p",0.209525948943455,4.77649965101948,1.17725803739758,0.2779149123423,0.785710060819589,0.302250705584532,"N.S.","miR-10a-3p"
