"miR","logFC","logCPM","LR","PValue","FDR","log2FC","isSg","mir"
"miR-10a-3p",-0.310888935791651,4.56926438181121,1.02139848529286,0.312187514057123,0.991695494945662,-0.448471421679659,"N.S.","miR-10a-3p"
"miR-96-5p",-0.294955540981176,6.47867648099534,1.00291340938862,0.316606573507172,0.991695494945662,-0.425486775395477,"N.S.","miR-96-5p"
"miR-30a-5p",0.283284970281687,13.4007637585249,0.993713204214714,0.318836525281857,0.991695494945662,0.408651446662774,"N.S.","miR-30a-5p"
"miR-431-5p",-0.29454719815154,5.51274842816596,0.982662797540409,0.321542287377375,0.991695494945662,-0.424897722302052,"N.S.","miR-431-5p"
"miR-338-3p",-0.283030561983944,9.00358808303262,0.978199633246767,0.322643692257871,0.991695494945662,-0.40828445112887,"N.S.","miR-338-3p"
"miR-223-3p",0.336512593491974,3.26377016722115,0.957911990552379,0.327713511509424,0.991695494945662,0.485434712664059,"N.S.","miR-223-3p"
"miR-3963",0.295122993046382,5.03151578249413,0.956757066722114,0.328005287151619,0.991695494945662,0.425728332611256,"N.S.","miR-3963"
"miR-210-3p",0.300738619274323,4.61711215795775,0.950469921602635,0.329599711659459,0.991695494945662,0.433829128709558,"N.S.","miR-210-3p"
"miR-191-3p",-0.315417591557027,3.74864797648289,0.939332683747284,0.332449517422146,0.991695494945662,-0.455004213476268,"N.S.","miR-191-3p"
"miR-664-3p",0.307833072653044,4.09008362734257,0.935210849375975,0.333512539684841,0.991695494945662,0.444063200194583,"N.S.","miR-664-3p"
"miR-380-3p",-0.275948152958575,6.86264934850535,0.911624619479975,0.339683726546723,0.991695494945662,-0.398067754171044,"N.S.","miR-380-3p"
"miR-153-5p",-0.304634529536654,3.88992512215986,0.89239998804603,0.344827761594352,0.991695494945662,-0.439449156355878,"N.S.","miR-153-5p"
"miR-669a-5p",-0.308260941079436,3.6181728204238,0.87834719412072,0.348654769503594,0.991695494945662,-0.444680419848886,"N.S.","miR-669a-5p"
