"trf","logFC","logCPM","LR","PValue","FDR","log2FC","isSg","mir"
"mmu-miR-143-3p",-0.0734566486238698,13.0515165284514,0.233089045573138,0.629242747514177,0.827950983571285,-0.105964554693087,"N.S.","mmu-miR-143-3p"
"mmu-miR-216b-3p",0.127913110953163,2.44660111481322,0.226789633155628,0.633914552470971,0.829950968162792,0.184520476981778,"N.S.","mmu-miR-216b-3p"
"mmu-miR-361-3p",-0.0729896436944061,8.72232603655822,0.226565093752271,0.634082539676373,0.829950968162792,-0.105290878854111,"N.S.","mmu-miR-361-3p"
"mmu-miR-20a-5p",-0.0775703072373653,5.87311118011086,0.221352283631923,0.638011472252729,0.832913149154999,-0.111898694233954,"N.S.","mmu-miR-20a-5p"
"mmu-miR-1947-5p",0.10739777057745,3.09257553167322,0.218665357316894,0.640058736120868,0.83340981265738,0.154926165942341,"N.S.","mmu-miR-1947-5p"
"mmu-let-7j",0.124136587859874,2.44698704013116,0.214910561224405,0.642945482707046,0.834994133385773,0.179072670753678,"N.S.","mmu-let-7j"
"mmu-miR-6945-3p",-0.129678146392655,2.15569315780963,0.201610557613834,0.653423978963589,0.845145843787891,-0.187066620834883,"N.S.","mmu-miR-6945-3p"
"mmu-miR-30c-1-3p",-0.0812496862724213,4.60517117948378,0.198704694106206,0.655768417279422,0.845145843787891,-0.117206365742263,"N.S.","mmu-miR-30c-1-3p"
"mmu-miR-200a-5p",0.116139399007224,2.52624313648473,0.197817832950886,0.656488023963751,0.845145843787891,0.167536362312672,"N.S.","mmu-miR-200a-5p"
"mmu-miR-149-5p",-0.0669331234442465,9.78180677819968,0.193167952468428,0.660292934102068,0.845145843787891,-0.0965540730874331,"N.S.","mmu-miR-149-5p"
"mmu-miR-1843a-5p",0.0667029464700607,10.6124512161352,0.19290940252975,0.660506098440037,0.845145843787891,0.0962220323392215,"N.S.","mmu-miR-1843a-5p"
"mmu-miR-214-5p",0.0907121891249414,3.73850764219254,0.192427274422776,0.660904049842131,0.845145843787891,0.130856456235549,"N.S.","mmu-miR-214-5p"
"mmu-miR-125a-5p",0.0650371476111621,13.3924760029985,0.183881478772719,0.668058562367544,0.852115513223908,0.0938190417645319,"N.S.","mmu-miR-125a-5p"
"mmu-miR-872-5p",0.0631850803240123,9.78593390488406,0.172169013552014,0.678191287329985,0.857274078426967,0.0911473505150526,"N.S.","mmu-miR-872-5p"
"mmu-miR-700-5p",0.0842968088220866,3.76527417541593,0.171536274380413,0.678750065662966,0.857274078426967,0.121601978530478,"N.S.","mmu-miR-700-5p"
"mmu-miR-19b-3p",0.0785797481154392,4.22312639566643,0.170560621145894,0.679614045850507,0.857274078426967,0.113354858585826,"N.S.","mmu-miR-19b-3p"
"mmu-miR-323-3p",-0.0657420499062888,6.64903328568298,0.170182768667596,0.679949426460601,0.857274078426967,-0.094835895367365,"N.S.","mmu-miR-323-3p"
"mmu-miR-29b-2-5p",-0.0862195072286346,3.58850793146923,0.168960824187169,0.68103701212063,0.857274078426967,-0.124375558380305,"N.S.","mmu-miR-29b-2-5p"
"mmu-miR-344b-3p",-0.070997071235718,4.88597317795964,0.160861360958535,0.688364717881032,0.857274078426967,-0.10241650250787,"N.S.","mmu-miR-344b-3p"
"mmu-miR-1981-5p",-0.0617657184901727,7.78941303917587,0.158612884583071,0.690436823978685,0.857274078426967,-0.089099856551078,"N.S.","mmu-miR-1981-5p"
"mmu-miR-195a-3p",0.0631984148223025,6.69143593708947,0.15779011346593,0.691199308788601,0.857274078426967,0.0911665861349705,"N.S.","mmu-miR-195a-3p"
"mmu-miR-409-5p",0.064207412516214,6.25724080681314,0.157635252749543,0.691343079744486,0.857274078426967,0.0926221111735433,"N.S.","mmu-miR-409-5p"
"mmu-miR-503-3p",0.069912653155893,4.9355993497585,0.157203413224668,0.691744427058768,0.857274078426967,0.1008521801343,"N.S.","mmu-miR-503-3p"
"mmu-miR-671-5p",0.0943409060199959,2.92857315194746,0.157035384127264,0.691900764006799,0.857274078426967,0.136091045304003,"N.S.","mmu-miR-671-5p"
"mmu-miR-30a-3p",0.06003948713396,10.50370106876,0.156202145850118,0.692677455368989,0.857274078426967,0.086609689351987,"N.S.","mmu-miR-30a-3p"
