"trf","logFC","logCPM","LR","PValue","FDR","log2FC","isSg","miR"
"miR-219a-2-3p",-0.335035725119198,8.61498433538528,10.402289573294,0.00125859162972607,0.03575880924457,-0.483304262903645,"Sgnificant","miR-219a-2-3p"
"miR-873a-3p",0.587136576573878,3.51998658777246,9.96557330049446,0.00159494505287666,0.0427976922521903,0.846971200649871,"Sgnificant","miR-873a-3p"
"miR-187-3p",0.391669173530362,5.03965694728181,8.83281240789168,0.00295862078505588,0.075211254693789,0.565000586572744,"N.S.","miR-187-3p"
"miR-203-3p",0.332080356134297,5.95387341808328,8.31683379281624,0.00392793281383397,0.0948595774540903,0.479041008803362,"N.S.","miR-203-3p"
"miR-34b-3p",0.660953131813165,2.55069919897957,7.22750568205475,0.00717948915092984,0.1583026986134,0.953454936995651,"N.S.","miR-34b-3p"
"miR-133a-5p",0.722195092443698,2.28918249079729,7.16365990569094,0.00743952482626983,0.1583026986134,1.04179924902621,"N.S.","miR-133a-5p"
"miR-19a-3p",-0.84967061667232,1.86456348115276,7.05616534957439,0.00789929053150037,0.1583026986134,-1.22568848726685,"N.S.","miR-19a-3p"
"miR-10a-5p",0.269773603634124,7.33303148974326,7.04007444747139,0.00797057182980673,0.1583026986134,0.389160686099558,"N.S.","miR-10a-5p"
"miR-23b-3p",0.249823036978094,10.1616746398998,6.99063641942186,0.0081937214603209,0.1583026986134,0.360381086823177,"N.S.","miR-23b-3p"
"miR-142a-3p",-0.316814321419657,5.63828831196136,6.88334233187335,0.00870027176133856,0.161624279258712,-0.457019059793011,"N.S.","miR-142a-3p"
"miR-34c-5p",0.33212755788301,5.16465886730826,6.68325315779988,0.00973228468274334,0.174099759324631,0.479109099471487,"N.S.","miR-34c-5p"
"miR-145a-3p",0.243975198810326,8.01512371366241,6.1222801692228,0.0133488505887764,0.230267672656394,0.351945314446224,"N.S.","miR-145a-3p"
"miR-296-3p",0.555911426792171,2.81504942779684,5.96084968825697,0.0146269902995703,0.240077209217218,0.801927502716062,"N.S.","miR-296-3p"
"miR-429-3p",-0.324214505342892,5.21887350342019,5.92687910631628,0.0149116279016906,0.240077209217218,-0.467694161485817,"N.S.","miR-429-3p"
"miR-877-5p",-0.558185638445182,2.77404476463019,5.82782742848482,0.0157745931378202,0.240838995893302,-0.805208156402336,"N.S.","miR-877-5p"
"miR-200b-3p",-0.257418725293884,8.13400925485454,5.78197637542871,0.0161913254157879,0.240838995893302,-0.371338212489112,"N.S.","miR-200b-3p"
"miR-5129-3p",-0.447902900621536,3.50583747888706,5.73375225427511,0.0166418873022719,0.240838995893302,-0.646120294067982,"N.S.","miR-5129-3p"
"miR-23b-5p",-0.336904663605013,4.69202247542154,5.70118431618145,0.0169534696902118,0.240838995893302,-0.486000291624097,"N.S.","miR-23b-5p"
"miR-27b-5p",-0.254721428040504,6.41075856152153,5.42817588514111,0.0198143656735445,0.273438246294915,-0.367447238592483,"N.S.","miR-27b-5p"
"miR-214-3p",-0.376818676569433,3.96748122997041,5.22345145960288,0.0222842797341713,0.281697924655251,-0.543578069660851,"N.S.","miR-214-3p"
"miR-708-3p",0.25551230442485,6.19612519505881,5.21360044808126,0.0224108783950527,0.281697924655251,0.368588113727063,"N.S.","miR-708-3p"
