"","miRs","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","FMS_1017","FMS_1056","FMS_1067","FMS_1086","FMS_1098","FMS_1121","FMS_1136","FMS_1164","FMS_1177","FMS_1179","FMS_1180","FMS_1025","FMS_1181","FMS_1182","FMS_1183","FMS_1184","FMS_1185","FMS_1053","FMS_1078","FMS_1087","FMS_1104","FMS_1135","FMS_1027","FMS_1187","FMS_1190","FMS_1191","FMS_1165","FMS_1166","FMS_1169","FMS_1172","FMS_1173","FMS_1174","FMS_1175","FMS_1028","FMS_1176","FMS_1186","FMS_1188","FMS_1192","FMS_1193","FMS_1194","FMS_1195","FMS_1197","FMS_1200","FMS_1031","FMS_1042","FMS_1047","FMS_1049","FMS_1033"
"405","hsa-miR-6793-3p",21.5653665274199,-0.0924720154683886,0.141760871342502,-0.652309869378349,0.514201294541015,0.689861923054546,27.221065733586,27.071523275854,18.3704757958114,38.232206486987,19.6724241666338,19.9885736987054,27.6796017834043,15.5760244561351,12.3206544429371,19.0527502808073,14.1771819966784,12.7426795739245,20.2054555213203,15.1998006392565,21.1839613751884,22.7188649829194,27.7849992681094,25.2292833514798,21.8516108885766,20.6083363289273,12.6191782914545,30.3629950028638,26.3557654280298,22.1692304127997,26.4786068746052,23.7913351628144,20.1640105855784,10.1708333603256,14.9203943071953,23.3864127825606,14.2938313166463,27.3754013654075,10.6080325332347,28.1842178469281,16.2364334129918,28.9200505581536,23.8567725471375,29.6707838627196,18.4127208371173,16.0405911656029,30.2560193573589,24.1150527615858,17.0232283433081,22.5061473298801,18.9289438827362,26.3440247140636,18.4783652892046,26.5807399366089
"406","hsa-miR-942-3p",11.6714504344663,-0.135025528826217,0.207343075658741,-0.651217931427094,0.514905816754251,0.689861923054546,9.89856935766763,9.02384109195132,3.86746858859187,17.7506672975297,19.0938234558505,6.42489868886958,7.17619305495667,8.76151375657601,14.2660209339272,13.4956981155719,11.6753263502057,10.7822673317823,15.4908492330122,9.11988038355389,7.84591162044016,15.1459099886129,12.9001782316222,9.76617420057283,5.82709623695375,7.59254496328901,17.2079703974379,16.5616336379257,19.1678294022035,15.5184612889598,11.7682697220468,7.93044505427148,6.72133686185948,30.5125000809768,10.3295037511352,14.1988934751261,8.1679036095122,5.06951877137176,12.9653730961757,12.2131610670022,9.8578345721736,1.60666947545298,11.0961732777384,5.65157787861326,9.69090570374595,9.62435469936175,6.98215831323666,19.0910834362554,14.0191292239008,17.1046719707089,14.1967079120522,20.4897969998273,4.61959132230114,11.961332971474
"407","hsa-miR-210-5p",26.7542468109966,-0.0920934420650683,0.147250836076705,-0.625418805887769,0.531696222585079,0.709363756421862,30.9330292427113,25.4308248954992,21.2710772372553,36.8667705410232,27.1942334068173,17.8469408024155,26.6544313469819,43.80756878288,27.8835863708577,25.4036670410764,28.3543639933567,27.4457713899912,33.0022440181565,18.2397607671078,25.8915083474525,31.5539791429436,44.6544631094616,31.7400661518617,20.3948368293381,27.1162320117465,20.6495644769255,23.4623143203948,11.9798933763772,26.6030764953596,42.6599777424195,28.3230180509696,19.323843477846,15.2562500404884,14.9203943071953,37.5853062576867,17.3567951702134,39.5422464166997,16.5013839405873,55.4289617656252,19.7156691443472,17.6733642299828,22.1923465554767,25.4321004537597,14.5363585556189,33.6852414477661,32.5834054617711,29.1390220869161,16.0218619701724,25.2068850094657,31.2327574065148,27.8075816426227,21.1181317590909,26.5807399366089
"408","hsa-miR-3615",13418.6373838479,-0.072284109542888,0.116366338126637,-0.621177143721958,0.534483076188948,0.711334094045585,13296.253289687,18877.055215172,21347.45974188,15669.7429158808,8917.39415459294,18912.7601071357,19334.7144309261,13783.8081421511,12231.8160398486,12350.1515049383,8024.28501011995,17157.5279432288,12992.1079002089,12468.9031244034,13658.1629488622,13814.3320687807,23639.0804487465,13756.4702093569,16678.6062042209,14789.1929392065,10670.088844438,12430.8861813998,12578.888045196,10993.7213617074,16722.7112750284,14296.3265914074,16000.1423996565,9038.05679481933,7630.06010417188,9677.79874684035,13634.2731001782,10364.1241761924,10176.6392102165,14336.3721448041,7707.08701757408,13862.3442342083,9362.95101175562,14887.669026737,11261.8015183232,10831.4091845734,15775.7988110742,6839.63183950476,9436.87670043152,12380.1815232204,15732.7917081362,11301.5866023333,15240.0317722715,19224.5201591524
"409","hsa-miR-6868-3p",9.07453724529616,0.184981667431601,0.300000988679704,0.616603526027365,0.537496268231566,0.713595290097164,4.94928467883382,4.10174595088696,4.83433573573984,4.09630783789147,20.8296255882005,9.28040921725606,16.4027269827581,7.78801222806756,2.59382198798676,6.35091676026911,14.1771819966784,3.92082448428446,3.36757592022005,1.0133200426171,2.35377348613205,15.1459099886129,10.9155354267573,8.13847850047736,5.82709623695375,17.3543884875177,10.3247822384628,0,9.58391470110175,18.8438458508797,10.2972360067909,9.06336577631026,13.442673723719,17.1632812955494,0,5.84660319564015,3.06296385356707,9.12513378846917,18.8587245035283,9.39473928230935,12.7571976816364,14.4600252790768,30.5144765137805,8.4773668179199,6.78363399262217,6.41623646624117,9.30954441764888,7.03355705546252,8.01093098508618,4.50122946597602,2.83934158241043,16.09912621415,5.93947455724432,3.98711099049134
"410","hsa-miR-1468-5p",51.0919702802508,0.0930771611895611,0.154113249808068,0.603953010565145,0.545874883368044,0.719441897254486,40.831598600379,25.4308248954992,28.0391472672911,21.8469751354212,73.4822902694851,27.8412276517682,35.8809652747834,57.4365901819983,71.9785601666327,55.5705216523547,84.2291400979126,17.6437101792801,49.1666084352127,48.6393620456208,27.4606906715406,49.224207462992,31.7542848778393,46.3893274527209,27.6787071255303,53.1478147430231,50.4767131658179,67.6266706881968,62.2954455571614,49.8807684287993,85.3199554848389,29.4559387730083,63.852700187665,78.188281457503,67.7156357018864,67.6535512638361,57.1753252665854,51.7090914679919,58.9335140735259,42.2763267703921,57.9872621892565,46.5934147881364,44.3846931109534,26.844994923413,67.8363399262217,69.7765715703727,55.0814711377559,57.2732503087662,85.1161417165406,37.8103275141986,41.6436765420197,51.2244924995682,55.4350958676137,49.1743688827265
"411","hsa-miR-3605-3p",163.997456264007,-0.0770923417120456,0.127244018162511,-0.605862207318747,0.544606257210628,0.719441897254486,118.782832292012,108.286093103416,142.129470630751,146.101646218129,235.490489288822,119.217564560135,143.523861099133,194.700305701689,164.059240740163,157.979054411694,202.650307364285,128.407001860316,139.41764309711,126.665005327137,123.180812440911,93.399778263113,67.4778553654086,169.280352809929,145.677405923844,156.18949638766,188.140476345321,182.177970017183,196.470251372586,73.1584603622389,203.002652705306,100.829944261452,164.672753115557,153.198177489904,211.180965578764,218.830005322531,206.239566140183,155.127274403976,128.475060680287,199.168472784958,190.198219980761,115.680202232614,199.176310335403,220.411537265917,210.292653771287,137.949084024185,184.639297616703,163.78140000577,292.398980955645,183.650162211822,161.842470197395,245.877563997927,143.207330991335,159.484439619653
"412","hsa-miR-6783-3p",132.580118212729,-0.117381855867652,0.193710331783102,-0.605965901700506,0.544537396163647,0.719441897254486,220.243168208105,206.727995924703,224.313178138329,129.716414866563,76.3752938234018,187.749817241411,194.782382920253,77.8801222806756,71.330104669636,113.52263708981,47.5352572829804,182.318338519227,122.57976349601,145.918086136862,134.165088709527,128.74023490321,111.139997072438,128.587960307542,228.713527300435,129.073264375913,90.628644093173,106.270482510023,64.6914242324368,126.364613352958,135.335101803538,116.690834369995,80.6560423423137,63.5677085020349,97.556424316277,131.966186415878,105.16175897247,206.836365871968,58.9335140735259,237.686903842427,74.2236956022483,196.013676005263,101.529985491306,210.521275978344,87.2181513337136,198.903330453476,226.532247496123,49.2348993882376,51.0696850299244,85.5233598535444,141.020631926385,87.8134157135455,237.578982289773,132.903699683044
"413","hsa-miR-4435",9.72126273228635,0.129858421362098,0.215848358849436,0.601618757049159,0.547427940355542,0.719741819886342,3.71196350912536,6.56279352141914,11.6024057657756,5.46174378385529,10.9934135048836,8.56653158515944,13.327215673491,12.6555198706098,9.07837695795367,11.1141043304709,10.8413744680482,9.80206121071115,5.38812147235208,15.1998006392565,3.92295581022008,6.31079582858872,7.93857121945984,7.32463065042962,11.6541924739075,9.76184352422873,8.03038618547103,6.90068068246906,4.79195735055087,8.86769216511987,4.41310114576753,18.1267315526205,10.9221724005216,8.89947919028489,9.18178111212019,19.2102676428176,5.10493975594512,12.1668450512922,8.25069197029363,3.75789571292374,1.15974524378513,16.0666947545298,12.7605992693991,8.4773668179199,14.5363585556189,14.4365320490426,16.2917027308855,10.0479386506607,12.0163964776293,14.4039342911233,10.4109191355049,17.5626831427091,4.61959132230114,3.98711099049134
"414","hsa-miR-103a-3p",22189.6675290007,-0.0645515404364643,0.107916906085639,-0.598159665411816,0.549733401726558,0.721027142844254,19304.6848897913,23364.3652854423,15734.795952686,20368.2080059423,35145.9429751128,17556.3926061522,17057.810891632,20688.8544838615,22160.3181543649,15974.9372458619,32322.3070486624,20354.9603101628,21863.6499044366,19877.285955977,18135.0401194854,18927.3388491033,12816.8232338179,19632.4516867015,17160.7984178288,21674.5465716292,21433.1007290222,21441.7950165679,28768.5159540322,21904.3081093667,30117.9442861481,26077.5691798887,24243.8620607271,32057.1953975762,19397.6603219929,23093.2473937507,24433.2626599046,19366.5756103944,26218.3417410302,17779.5440917705,27251.693738463,18380.2987991821,25313.7000985045,16687.6965810753,25412.462026933,16690.2351078098,15772.6956296016,32939.152484596,33770.0795676308,22308.9934792704,18735.8686551323,31391.8325606639,17229.0958073308,16765.8017150161
