,miR,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,001_FMS_1053,002_FMS_1078,003_FMS_1090,004_FMS_1096,005_FMS_1207,006_FMS_1209,007_FMS_1210,008_FMS_1212,009_FMS_1213,010_FMS_1214,011_SFN_122_,012_SFN_189_,013_SFN_204_,014_SFN_235_,015_FMS_1067,016_FMS_1098,017_FMS_1145,018_FMS_1154,019_FMS_1155,020_FMS_1162,021_FMS_1164,022_FMS_1166,023_FMS_1171,024_FMS_1169,025_FMS_1172,026_FMS_1173,027_FMS_1174,028_FMS_1175,029_FMS_1181,030_FMS_1182,031_FMS_1184,032_FMS_1185,033_FMS_1188,034_FMS_1193,035_FMS_1194,036_FMS_1195,037_FMS_1196,038_FMS_1197,039_FMS_1201,040_FMS_1202,041_FMS_1203,042_FMS_1204,043_FMS_1205,044_FMS_1215,045_FMS_1216,046_FMS_1217,,,,,,,,
21,miR-381-3p,570.9637457,-1.93611943,0.53453507,-3.622062497,0.000292263,0.029089091,640.7512239,5332.64968,5404.245936,74.28027001,36.6398323,102.7939441,237.0928146,396.4505069,51.9715512,35.1250592,127.0308233,1048.504871,2129.767675,825.8012699,384.2948187,1382.577647,33.18530618,72.11490446,1084.706707,205.4290945,156.5976837,41.47213596,44.30394004,52.09053682,844.771988,97.38276772,144.7912542,1294.453204,91.86226982,42.15104701,57.48922806,265.5805917,390.7827435,272.5005476,187.9260166,53.41213064,60.2796902,59.11401917,561.847933,182.3236434,186.2439638,102.8247836,219.1639982,895.2355693,33.74459708,320.5720813,,,,,,,,
22,miR-382-5p,38.41708255,-1.594122943,0.504981148,-3.156796944,0.001595124,0.029089091,68.48323892,207.4434548,246.8849542,5.531509469,0,3.953613236,12.55197254,36.94520853,4.42311074,2.341670613,12.2325978,103.1607846,224.2175402,77.56144524,28.69961305,98.33530987,7.766773787,8.012767162,70.040535,10.59753265,17.76994993,4.785246456,7.212269309,8.681756136,50.83883579,5.564729584,12.16733229,81.79237281,2.870695932,20.67787212,6.271552152,16.78390357,22.75105014,20.18522575,17.08418333,10.01477449,6.393300476,2.230717705,83.43397425,5.239185156,15.1593924,5.909470324,15.74106064,42.63026521,9.748439158,46.06460993,,,,,,,,
23,miR-411-3p,17.15788564,-1.751123636,0.559812225,-3.128055367,0.00175967,0.029089091,9.445963989,136.0408164,95.75005827,1.580431277,1.665446923,3.953613236,12.55197254,22.73551294,3.317333055,2.341670613,10.35065968,57.80561206,68.16213221,44.48377006,7.699896184,35.29985483,0,1.780614925,30.41233757,2.445584459,1.11062187,0,5.151620935,2.893918712,12.70970895,0.927454931,4.866932915,45.51923356,0,7.157724964,3.135776076,3.94915378,0,6.055567724,6.643849071,6.67651633,2.739985918,1.115358852,33.72862789,10.47837031,9.745323686,8.273258453,12.10850819,39.35101404,2.999519741,14.1014112,,,,,,,,
24,miR-411-5p,157.4234501,-1.716951967,0.515779933,-3.328845997,0.000872066,0.029089091,193.6422618,1109.371519,1238.179675,25.28690043,13.32357538,29.65209927,69.73318076,66.78556926,6.63466611,7.02501184,29.17004091,396.6354304,763.5354635,322.7924853,155.3979048,360.5628029,4.94249241,34.72199104,308.7313056,70.9219493,51.08860604,23.12869121,16.48518699,14.46959356,238.0952143,18.54909861,91.25499216,376.2449149,36.36214847,25.44968876,24.04094992,73.05934493,65.57655627,56.51863209,61.69288423,40.05909798,34.7064883,17.84574164,186.3950489,38.76997015,79.04540323,18.91030504,32.69297211,244.850754,26.24579773,142.8943002,,,,,,,,
25,miR-487b,5.750950392,-2.071907328,0.638775226,-3.243562437,0.001180449,0.029089091,5.51014566,42.08997633,47.87502914,0,1.665446923,0.988403309,1.394663615,5.683878235,0,0,0,16.89702506,32.28732579,17.10914233,4.899933935,16.80945468,1.412140689,1.780614925,8.294273882,1.630389639,0,0,0,0,2.541941789,0.927454931,0,14.93599851,0.956898644,0.795302774,1.045258692,3.94915378,2.676594134,6.055567724,0.949121296,1.112752722,3.653314558,3.346076557,5.325572825,0,3.248441229,0,0,2.186167447,0.749879935,3.760376321,,,,,,,,
26,miR-493-3p,100.2451547,-1.746874389,0.474359811,-3.68259357,0.000230873,0.029089091,166.8786971,695.987823,693.7185594,21.33582224,11.65812846,42.50134228,65.54918991,134.9921081,19.90399833,4.683341227,24.4651956,259.6805957,314.5024697,287.4335912,113.3984711,166.4136013,9.178914476,22.25768656,162.1991337,30.97740314,25.54430302,12.76065722,5.151620935,24.59830905,119.4712641,13.91182396,57.18646175,217.6388355,7.655189152,31.01680818,27.17672599,22.70763424,49.51699147,56.51863209,55.04903516,21.14230171,8.219957755,8.922870818,221.0112722,28.29159984,47.64380469,21.27409317,56.90998848,141.0078003,20.24675825,62.98630337,,,,,,,,
27,miR-494,23.02287256,-1.858936372,0.533696421,-3.483134417,0.000495579,0.029089091,40.93251062,116.4990416,187.7452123,2.370646915,3.330893846,4.942016545,11.15730892,12.78872603,3.317333055,0,3.763876247,68.47741736,136.3242644,58.17108393,14.69980181,46.22600037,1.412140689,2.670922387,51.60881526,7.336753376,11.1062187,2.392623228,9.272917684,4.340878068,33.04524326,0.927454931,4.866932915,56.89904195,5.741391864,7.157724964,2.090517384,13.82203823,6.691485334,14.12965802,8.542091663,6.67651633,1.826657279,1.115358852,29.29065054,9.43053328,12.99376491,2.363788129,1.210850819,21.86167447,1.49975987,15.98159936,,,,,,,,
28,miR-503-5p,1202.803938,-0.61579627,0.195709722,-3.14647767,0.001652499,0.029089091,583.2882763,1540.04217,884.2799499,702.5017025,2023.518011,1711.914531,1075.285647,1874.258848,2186.122483,2784.246359,1833.948701,1512.728402,1109.727346,2387.29566,748.289911,949.7341894,473.0671307,799.4961013,1445.046827,562.4844255,607.5101631,480.1197278,769.6521677,933.2887846,910.8624745,969.1904026,816.4279965,1352.063484,376.0611671,1371.101982,1337.931126,1664.568318,1086.697218,498.5750759,495.4413165,1250.734059,849.3956347,710.4835889,1178.726785,1438.680244,1696.769135,1344.995446,1597.11223,1738.00312,1514.757469,1152.555342,,,,,,,,
29,miR-576-3p,280.6103807,-0.49325887,0.151496452,-3.255910381,0.001130294,0.029089091,225.9159721,343.4842712,271.2918318,207.8267129,521.2848868,547.5754332,407.2417756,440.5005632,509.7635128,471.8466286,302.0510688,190.3138612,194.3218682,290.8554196,170.7976972,226.9276382,180.0479378,183.4033373,277.397382,210.3202634,144.3808431,169.8762492,173.0944634,285.0509931,271.1404575,338.5210497,264.0311106,201.2803609,245.9229515,148.7216187,221.5948427,288.2882259,283.7189782,119.0928319,273.3469332,203.6337481,261.2119909,262.1093303,307.9956284,312.2554353,270.7034357,452.6654268,432.2737423,336.6697868,221.9644608,245.3645549,,,,,,,,
30,miR-654-3p,97.38586593,-1.673943263,0.526614417,-3.178688638,0.001479429,0.029089091,114.1387315,650.139813,716.2479849,11.06301894,1.665446923,8.895629781,26.49860869,55.41781279,18.79822065,2.341670613,31.9929481,227.6651798,514.8034722,230.4031167,67.19909397,266.4298567,6.354633099,18.69645671,175.1013375,27.71662387,27.76554676,8.772951837,20.60648374,11.57567485,145.7379959,8.347094376,38.93546332,219.7725495,17.22417559,24.65438599,27.17672599,35.54238402,49.51699147,48.44454179,28.47363888,26.70606532,10.04661503,8.922870818,180.1818806,36.67429609,44.39536346,15.36462284,31.48212129,149.7524701,7.498799352,84.60846721,,,,,,,,
31,miR-92b-3p,481.176446,-0.744714602,0.232601182,-3.20168021,0.001366286,0.029089091,229.8517904,416.390123,534.135129,310.5547459,1497.236784,632.5781177,394.6898031,1052.938443,992.9883612,1159.126954,716.0774559,375.2918198,423.3227158,629.6164378,165.8977632,521.9335678,148.9808426,189.6354895,550.1868341,133.6919504,270.9917364,141.9623115,187.519002,423.9590913,286.3921083,359.8525131,386.9211667,393.3146275,117.6985332,528.0810418,370.021577,637.7883355,414.8720907,476.3713276,205.9593212,487.3856921,271.2586059,352.4533973,663.9214122,717.7683663,680.0070306,622.8581721,484.3403275,510.4700988,512.1679957,554.6555073,,,,,,,,
32,miR-92b-5p,30.35045445,-0.735246682,0.224111069,-3.280724539,0.001035408,0.029089091,14.95610965,37.58033601,36.6103164,24.49668479,101.5922623,28.66369596,18.130627,65.3645997,53.07732888,93.66682453,37.63876247,23.12224482,26.90610482,28.51523722,12.59983012,28.57607296,8.472844131,11.57399701,42.39295539,10.59753265,17.76994993,7.975410761,16.48518699,26.04526841,20.33553431,28.75110285,32.85179718,24.18209283,10.52588508,28.63089985,18.81465646,40.47882625,28.1042384,36.33340634,18.03330462,25.5933126,21.00655871,22.30717705,38.16660524,37.72213312,27.07034357,27.18356349,37.53637538,37.16484659,31.49495728,31.02310465,,,,,,,,
