,Ester_24h_CNT_F_S_S5_R1_001.flexbar_q.fastq,Ester_24h_CNT_F_S_S6_R1_001.flexbar_q.fastq,Ester_24h_CNT_F_T_S29_R1_001.flexbar_q.fastq,Ester_24h_CNT_F_T_S30_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_S_S17_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_S_S18_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_T_S41_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_T_S42_R1_001.flexbar_q.fastq,Ester_24h_LPS_F_S_S7_R1_001.flexbar_q.fastq,Ester_24h_LPS_F_T_S31_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_S_S19_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_S_S20_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_T_S43_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_T_S44_R1_001.flexbar_q.fastq,Ester_24h_PS_F_S_S8_R1_001.flexbar_q.fastq,Ester_24h_PS_F_T_S32_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_S_S1_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_S_S2_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_T_S25_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_T_S26_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_S_S13_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_S_S14_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_T_S37_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_T_S38_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_S_S3_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_S_S4_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_T_S27_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_T_S28_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_S_S15_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_S_S16_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_T_S39_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_T_S40_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_S_S10_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_S_S9_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_T_S33_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_T_S34_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_S_S21_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_S_S22_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_T_S45_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_T_S46_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_S_S11_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_S_S12_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_T_S35_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_T_S36_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_S_S23_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_S_S24_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_T_S47_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_T_S48_R1_001.flexbar_q.fastq
tRF-19-2R1HPS2E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11559868587897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.02110119218797,0,0,0,5.32347128867756,0,0,0,0,0,0,0,0,0
tRF-19-2R9DWUFJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4537642060317,0,0,0,0,0,0,0,0,0,0,6.44125762571866,0,0,0,0,0,0,3.6628289683581,0,0,0,0,0,2.42072341960215,7.07644005171052,0,0,0,0,0
tRF-19-2S3HPS2E,0,5.38820052862588,48.2509652824312,18.3202926406236,4.82742703381678,0,21.5651139602935,33.2733338895346,0,29.5185125200088,4.48695355221918,8.85390753243739,27.724674994914,16.9010272148239,0,24.6935921152738,34.1202087465322,3.22688210301585,68.4112440845882,28.3909934190362,23.5660193682794,20.9673164667646,21.2787621544195,4.02677094099658,0,4.24483126627456,46.5690109543681,26.204096388131,0,0,52.418224556742,31.9149978106414,3.51782750090968,0,44.1160565570338,65.9309214304457,15.9107254092588,0,63.8816554641307,34.5141024843234,8.63278965762233,2.42072341960215,24.7675401809868,34.6170944717464,0,0,19.4149375895323,17.4739668281949
tRF-19-2VO0SR1Z,0,0,0,0,0,0,0,0,6.75091459356816,0,0,0,0,0,0,0,0,0,0,0,0,5.24182911669116,0,0,0,0,0,0,0,3.11495397779295,0,0,10.5534825027291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.82465560939831
tRF-19-31QJ3KKK,4.74553394333466,0,0,0,0,0,0,0,0,0,0,0,5.5449349989828,0,0,0,0,0,0,5.67819868380724,0,0,0,0,0,0,0,0,0,0,5.2418224556742,0,0,0,0,3.6628289683581,0,0,0,0,0,0,0,0,0,0,0,0
tRF-19-392J1YEJ,9.49106788666932,0,3.21673101882875,4.5800731601559,4.82742703381678,21.4666747263507,10.7825569801468,0,0,0,4.48695355221918,4.4269537662187,0,4.22525680370598,0,12.3467960576369,5.68670145775536,9.68064630904755,0,0,9.42640774731177,0,10.6393810772098,0,2.63776956837632,8.48966253254912,0,10.4816385552524,6.44125762571866,0,10.4836449113484,0,0,0,8.02110119218797,3.6628289683581,7.9553627046294,8.37127946211746,10.6469425773551,17.2570512421617,8.63278965762233,0,21.2293201551316,0,0,0,0,5.82465560939831
tRF-19-3L7L731D,4.74553394333466,0,6.43346203765749,4.5800731601559,9.65485406763355,28.6222329684675,0,6.65466677790691,0,0,8.97390710443837,0,0,4.22525680370598,5.64705162450115,16.4623947435159,5.68670145775536,9.68064630904755,0,0,32.9924271155912,15.7254873500735,5.31969053860488,0,10.5510782735053,0,0,10.4816385552524,12.8825152514373,9.34486193337884,5.2418224556742,3.98937472633018,0,6.80153579004577,4.01055059609399,3.6628289683581,15.9107254092588,0,5.32347128867756,5.75235041405389,0,0,3.53822002585526,4.3271368089683,5.0373382391115,0,12.9432917263549,5.82465560939831
tRF-19-3L7L73JE,0,0,3.21673101882875,4.5800731601559,14.4822811014503,7.15555824211688,10.7825569801468,0,0,0,4.48695355221918,8.85390753243739,0,0,0,4.11559868587897,0,6.4537642060317,6.84112440845882,0,18.8528154946235,0,0,4.02677094099658,10.5510782735053,12.7344937988237,0,0,12.8825152514373,0,0,3.98937472633018,3.51782750090968,0,0,3.6628289683581,7.9553627046294,0,0,5.75235041405389,2.87759655254078,2.42072341960215,0,12.9814104269049,0,0,0,0
tRF-19-3L90Q42E,4.74553394333466,5.38820052862588,48.2509652824312,41.2206584414031,24.1371351690839,0,59.3040633908071,46.5826674453484,13.5018291871363,47.9675828450142,8.97390710443837,39.8425838959683,88.7189599837247,29.5767976259419,22.5882064980046,32.9247894870317,11.3734029155107,6.4537642060317,20.5233732253765,17.0345960514217,23.5660193682794,15.7254873500735,42.557524308839,24.1606256459795,18.4643869786342,33.9586501301965,31.046007302912,31.4449156657572,25.7650305028746,24.9196318223436,47.1764021010678,55.8512461686225,63.3208950163743,34.0076789502288,68.1793601335978,102.559211114027,63.6429016370352,16.7425589242349,79.8520693301634,80.5329057967545,28.7759655254078,12.1036170980107,35.3822002585526,69.2341889434928,45.3360441520035,48.1866945470766,45.301521042242,40.7725892657882
tRF-19-3OPP6N24,0,0,0,0,0,0,0,0,0,7.37962813000219,0,0,0,0,0,0,0,3.22688210301585,0,0,0,0,0,0,0,0,0,0,0,0,10.4836449113484,0,0,0,0,0,0,0,0,0,0,0,0,0,10.074676478223,0,0,0
