"","Ester_24h_CNT_F_S_S6_R1_001.flexbar_q.fastq","Ester_24h_CNT_F_T_S29_R1_001.flexbar_q.fastq","Ester_24h_CNT_F_T_S30_R1_001.flexbar_q.fastq","Ester_24h_CNT_M_S_S17_R1_001.flexbar_q.fastq","Ester_24h_CNT_M_S_S18_R1_001.flexbar_q.fastq","Ester_24h_CNT_M_T_S41_R1_001.flexbar_q.fastq","Ester_24h_CNT_M_T_S42_R1_001.flexbar_q.fastq","Ester_24h_LPS_F_S_S7_R1_001.flexbar_q.fastq","Ester_24h_LPS_F_T_S31_R1_001.flexbar_q.fastq","Ester_24h_LPS_M_S_S19_R1_001.flexbar_q.fastq","Ester_24h_LPS_M_S_S20_R1_001.flexbar_q.fastq","Ester_24h_LPS_M_T_S43_R1_001.flexbar_q.fastq","Ester_24h_LPS_M_T_S44_R1_001.flexbar_q.fastq","Ester_24h_PS_F_S_S8_R1_001.flexbar_q.fastq","Ester_24h_PS_F_T_S32_R1_001.flexbar_q.fastq","Ester_4h_CNT_F_S_S1_R1_001.flexbar_q.fastq","Ester_4h_CNT_F_S_S2_R1_001.flexbar_q.fastq","Ester_4h_CNT_F_T_S25_R1_001.flexbar_q.fastq","Ester_4h_CNT_F_T_S26_R1_001.flexbar_q.fastq","Ester_4h_CNT_M_S_S13_R1_001.flexbar_q.fastq","Ester_4h_CNT_M_S_S14_R1_001.flexbar_q.fastq","Ester_4h_CNT_M_T_S37_R1_001.flexbar_q.fastq","Ester_4h_CNT_M_T_S38_R1_001.flexbar_q.fastq","Ester_4h_LPS_F_S_S3_R1_001.flexbar_q.fastq","Ester_4h_LPS_F_S_S4_R1_001.flexbar_q.fastq","Ester_4h_LPS_F_T_S27_R1_001.flexbar_q.fastq","Ester_4h_LPS_F_T_S28_R1_001.flexbar_q.fastq","Ester_4h_LPS_M_S_S15_R1_001.flexbar_q.fastq","Ester_4h_LPS_M_S_S16_R1_001.flexbar_q.fastq","Ester_4h_LPS_M_T_S39_R1_001.flexbar_q.fastq","Ester_4h_LPS_M_T_S40_R1_001.flexbar_q.fastq","Ester_7d_CNT_F_S_S10_R1_001.flexbar_q.fastq","Ester_7d_CNT_F_S_S9_R1_001.flexbar_q.fastq","Ester_7d_CNT_F_T_S33_R1_001.flexbar_q.fastq","Ester_7d_CNT_F_T_S34_R1_001.flexbar_q.fastq","Ester_7d_CNT_M_S_S21_R1_001.flexbar_q.fastq","Ester_7d_CNT_M_S_S22_R1_001.flexbar_q.fastq","Ester_7d_CNT_M_T_S45_R1_001.flexbar_q.fastq","Ester_7d_CNT_M_T_S46_R1_001.flexbar_q.fastq","Ester_7d_LPS_F_S_S11_R1_001.flexbar_q.fastq","Ester_7d_LPS_F_S_S12_R1_001.flexbar_q.fastq","Ester_7d_LPS_F_T_S35_R1_001.flexbar_q.fastq","Ester_7d_LPS_F_T_S36_R1_001.flexbar_q.fastq","Ester_7d_LPS_M_S_S23_R1_001.flexbar_q.fastq","Ester_7d_LPS_M_S_S24_R1_001.flexbar_q.fastq","Ester_7d_LPS_M_T_S47_R1_001.flexbar_q.fastq","Ester_7d_LPS_M_T_S48_R1_001.flexbar_q.fastq"
"tRF-21-WEKSPM85D",255.445473874835,247.820587534969,486.170287889562,105.210292538911,227.917391925143,283.878200373078,304.892109660333,375.367465321534,184.110769215029,195.215981662048,215.443905540191,255.389761035225,344.306150889092,271.596979221125,262.502050975977,134.872231666114,184.080799423154,417.980261004049,260.302899688742,225.652176837028,409.10909791107,344.356496916133,210.786466940467,87.688620747672,159.582011736395,143.176724620898,303.284783537173,142.130013991484,169.963351168647,298.653755107846,162.445371265439,270.145912749022,385.313304697545,223.221559063408,217.69206706042,228.406215120653,238.250450808883,322.670713520576,243.588646505506,232.167496165799,354.510190880823,339.000146008712,285.907965691916,208.965034875991,200.630330783671,311.014255531146,245.234427655333
"tRF-21-XSXMSL73E",75.4725263721103,37.9019722112305,61.9628798290619,100.428006514415,61.3623747490769,57.827040816738,77.9956559596201,59.7175513011532,37.5040455808391,60.4239943239672,89.4295456959283,48.9044223258942,89.2645576379127,16.9748112013203,27.1553845837218,38.5349233331753,62.45598551857,104.495065251012,33.2301574070735,63.1826095143679,32.7287278328856,22.5807538961399,27.3241716404309,60.546904801964,55.8537041077381,55.0679710080377,77.1997630821895,47.3766713304945,69.9849093047371,26.1976978164777,35.3142111446606,41.808296020682,40.1368025726609,53.7385234782279,55.3454407780729,76.1354050402175,72.5110067679209,53.7784522534294,51.2818203169487,42.2122720301452,9.73929095826436,68.4519525594514,4.46731196393619,89.5564435182818,66.8767769278903,42.4110348451563,11.1470194388788
"tRF-22-18YKISQI3",185.778526454425,122.452525605514,90.5611320578597,47.8228602449596,35.0642141423296,168.224118739602,63.8146276033255,42.655393786538,92.0553846075143,51.127995197203,4.06497934981492,92.3750199489113,89.2645576379127,96.1905968074818,81.4661537511653,25.6899488887835,36.1587284581195,78.3712989382592,99.6904722212204,27.0782612204434,27.273939860738,73.3874501624546,109.296686561723,68.898202016028,39.8955029340987,99.1223478144679,154.399526164379,47.3766713304945,23.328303101579,20.9581582531822,60.034158945923,54.6723871039688,56.1915236017253,95.0758492307109,70.104224985559,59.2164261423914,113.945867778161,48.4006070280865,76.9227304754231,9.38050489558783,52.5921711746275,114.086587599086,107.215487134469,44.7782217591409,76.4306022033032,98.9590813053647,39.0145680360758
"tRF-22-1EWJQ72SJ",121.917157985717,64.1417991266978,52.4301290861293,66.9520043429434,78.8944818202417,78.8550556591883,85.0861701377674,25.5932362719228,47.7324216483407,41.8319960704388,24.3898760988895,59.7720717316485,59.5097050919418,73.5575152057214,72.4143588899247,38.5349233331753,69.0302997836826,78.3712989382592,60.9219552463014,58.6695659776274,16.3643639164428,62.0970732143847,148.331217476625,33.405188856256,43.8850532275085,77.0951594112528,110.285375831699,59.2208391631182,86.6479829487221,47.1558560696599,137.725423464176,45.0243187915037,24.0820815435965,41.337325752483,73.7939210374305,33.8379577956522,72.5110067679209,59.1562974787724,76.9227304754231,14.0707573433817,85.7057604327263,39.1154014625436,53.6077435672343,54.7289377056167,47.7691263770645,63.6165522677345,61.3086069138334
"tRF-22-8B8SOUPR2",58.0557895170079,46.648581183053,33.3646276002641,19.1291440979838,78.8944818202417,42.0560296849004,35.4525708907364,102.372945087691,75.0080911616783,23.2399978169105,69.1046489468537,76.0735458402799,59.5097050919418,22.6330816017604,54.3107691674435,12.8449744443918,42.7330427232321,43.5396105212551,44.3068765427646,67.6956530511085,81.8218195822139,62.0970732143847,42.9379840063913,16.702594428128,23.9373017604592,33.0407826048226,49.6284191242647,17.7662517489355,16.663073643985,41.9163165063644,42.3770533735927,35.3762504790386,16.0547210290644,70.2734537792211,55.3454407780729,25.3784683467392,62.1522915153607,59.1562974787724,57.6920478565673,28.1415146867635,44.800738408016,48.8942518281796,53.6077435672343,64.6796536520924,28.6614758262387,21.2055174225782,33.4410583166364
"tRF-22-8BWS72092",104.500421130614,84.5505533942835,262.150645430646,52.6051462694555,131.490803033736,105.140074212251,148.900797741093,162.090496388844,150.016182323357,65.0719938873493,48.7797521977791,152.14709168056,174.278422054972,130.140219210122,158.40641007171,89.9148211107424,105.189028241802,226.405974710527,110.767191356912,72.2086965878491,207.281942941609,214.517162013329,124.910498927684,93.95209365822,75.8014555747875,77.0951594112528,77.1997630821895,71.0650069957418,89.9805976775191,104.790791265911,63.565580060389,73.968523728899,192.656652348772,148.814372708939,114.380577608017,84.5948944891306,134.663298283282,209.735963788375,108.973868173516,136.017320986023,194.785819165287,185.798156947082,107.215487134469,84.581085545044,95.538252754129,98.9590813053647,117.043704108227
"tRF-22-8BWS7K092",92.8892632272127,40.8175085351714,90.5611320578597,43.0405742204636,96.4265888914065,36.7990259742879,63.8146276033255,85.310787573076,44.3229629591735,27.8879973802925,56.9097108974089,70.6397211374027,72.2617847545007,67.8992448052813,58.8366665980638,25.6899488887835,36.1587284581195,43.5396105212551,77.5370339498381,36.1043482939245,76.3670316100663,22.5807538961399,23.4207185489407,29.229540249224,31.9164023472789,11.0135942016075,66.1712254990196,35.5325034978709,36.658762016767,104.790791265911,67.0970011748551,38.5922732498603,112.38304720345,41.337325752483,33.2072644668437,8.45948944891306,20.7174305051202,53.7784522534294,25.6409101584744,49.2476507018361,89.6014768160321,91.2692700792685,26.8038717836171,49.7535797323788,19.1076505508258,49.4795406526824,39.0145680360758
"tRF-22-8EKSP1852",539.918842508174,384.850794760187,691.124428862613,306.066305567741,464.600837385868,446.845315402067,652.32730438955,1458.8144674996,640.978233563433,274.231974239543,451.212707829456,516.213346773328,607.849130581977,724.258611256334,497.848717368232,186.252129443681,443.766212895103,566.014936776317,465.222203699029,361.043482939245,752.760740156368,750.810067046651,405.959121514973,271.41715945708,347.090875526658,462.570956467517,518.341266408987,485.610881137569,279.939637218948,487.277179386486,271.919425813886,324.818299852991,280.957618008626,338.966071170361,309.934468357208,406.055493547827,227.891735556323,639.96358181581,506.407975629869,354.11405980844,422.685227588673,508.500219013067,339.51570925915,606.993672735021,429.922137393581,593.754487832188,479.321835871788
"tRF-22-8EKSPM852",92.8892632272127,145.776816197041,224.019642458916,47.8228602449596,157.788963640483,178.738126160827,219.805939522566,315.649914020381,170.47293445836,79.0159925774956,85.3645663461134,141.279442274805,182.779808496678,147.115030411443,176.509999794191,70.6473594441547,85.4660854464642,104.495065251012,210.457663578132,54.1565224408868,218.191518885904,191.936408117189,132.717405110664,45.932134677352,103.728307628657,110.135942016075,181.970870122304,100.675426577301,89.9805976775191,209.581582531822,158.913950150973,83.6165920413641,88.300965659854,95.0758492307109,107.001185504274,76.1354050402175,72.5110067679209,172.091047210974,134.61477833199,98.4953014036722,286.335154172972,146.682755484539,134.019358918086,119.408591357709,57.3229516524774,141.370116150521,122.617213827667
"tRF-22-DRFU8U76F",63.8613684687087,43.7330448591122,114.393008915191,14.3468580734879,8.76605353558241,57.827040816738,35.4525708907364,17.0621575146152,57.9607977158423,13.9439986901463,4.06497934981492,48.9044223258942,68.0110915336478,16.9748112013203,81.4661537511653,6.42248722219588,16.4357856627816,43.5396105212551,88.6137530855293,36.1043482939245,21.8191518885904,112.903769480699,54.6483432808617,4.175648607032,15.9582011736395,110.135942016075,66.1712254990196,0,6.66522945759401,99.5512517026154,60.034158945923,22.5121593957519,56.1915236017253,90.9421166554626,103.311489452403,0,51.7935762628006,145.201821084259,70.5125029358045,2.34512622389696,9.73929095826436,65.1923357709061,80.4116153508514,29.8521478394273,19.1076505508258,134.301610342995,117.043704108227
