,Ester_24h_CNT_F_S_S6_R1_001.flexbar_q.fastq,Ester_24h_CNT_F_T_S29_R1_001.flexbar_q.fastq,Ester_24h_CNT_F_T_S30_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_S_S17_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_S_S18_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_T_S41_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_T_S42_R1_001.flexbar_q.fastq,Ester_24h_LPS_F_S_S7_R1_001.flexbar_q.fastq,Ester_24h_LPS_F_T_S31_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_S_S19_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_S_S20_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_T_S43_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_T_S44_R1_001.flexbar_q.fastq,Ester_24h_PS_F_S_S8_R1_001.flexbar_q.fastq,Ester_24h_PS_F_T_S32_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_S_S1_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_S_S2_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_T_S25_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_T_S26_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_S_S13_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_S_S14_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_T_S37_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_T_S38_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_S_S3_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_S_S4_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_T_S27_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_T_S28_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_S_S15_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_S_S16_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_T_S39_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_T_S40_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_S_S10_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_S_S9_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_T_S33_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_T_S34_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_S_S21_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_S_S22_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_T_S45_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_T_S46_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_S_S11_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_S_S12_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_T_S35_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_T_S36_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_S_S23_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_S_S24_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_T_S47_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_T_S48_R1_001.flexbar_q.fastq
tRF-16-9N1EWJ0,288.795514563359,461.356714953783,875.196919306844,356.44169349409,1375.62806747572,265.234671476255,686.56618824991,545.141946576089,172.294968986906,430.496362305739,385.476641867669,547.956753566988,346.483594404693,471.727536412688,463.369893377154,301.292545018128,731.731619524468,1161.61120382186,328.598149739649,533.809313304363,403.438969422108,952.740307518159,904.964775986412,153.55330285212,417.064790684229,820.168067226891,417.525287216992,536.446646631634,426.599253451306,592.63649159197,1049.69675427099,197.928180345989,359.208304896009,599.273139675748,805.969812767013,416.845615542026,673.945275643618,664.642528058489,534.155110426297,178.169202801457,622.335778888531,224.255636720574,401.700818358582,438.715688938929,458.265139116203,678.521039537313,1039.1363022942
tRF-16-BS68BFD,10.4070455698508,6.9902532568755,61.2637843514791,11.3156093172727,23.3157299572156,12.241600221981,98.0808840357014,0.0,7.60124863177525,14.3498787435246,7.00866621577581,7.02508658419215,0.0,27.2900227676761,28.6620552604425,15.0646272509064,21.7962610071118,0.0,20.221424599363,29.1926968213324,27.8233772015247,9.43307235166494,9.28169001011704,5.95680916236673,4.41338402840454,26.890756302521,8.97903843477402,11.5364870243362,5.92498963126815,8.2310623832218,27.7697554039944,0.0,14.3683321958404,6.4437972008145,22.544610147329,31.5792132986383,13.4789055128724,0.0,0.0,8.69118062446133,11.4943283699729,7.35264382690406,17.093651845046,15.5297589004931,10.911074740862,43.080700923004,6.7476383265857
tRF-16-I26WRND,2.6017613924627,2.3300844189585,8.75196919306844,16.9734139759091,23.3157299572156,16.322133629308,21.7957520079337,13.9779986301561,22.8037458953257,9.56658582901641,0.0,21.0752597525765,4.02887900470573,0.0,9.55401842014751,0.0,3.11375157244454,16.3607211805896,15.1660684495223,54.2150083824744,27.8233772015247,28.2992170549948,13.9225350151756,4.6330737929519,4.41338402840454,26.890756302521,4.48951921738701,46.1459480973449,15.7999723500484,8.2310623832218,0.0,7.71148754594761,7.18416609792018,19.3313916024435,56.3615253683226,6.31584265972766,26.9578110257447,22.6582680019939,41.0888546481767,4.34559031223066,4.92614072998837,1.83816095672601,4.27341296126151,31.0595178009861,0.0,43.080700923004,20.2429149797571
tRF-16-I7L7P50,0.0,2.3300844189585,17.5039383861369,22.6312186345454,23.3157299572156,4.08053340732701,0.0,27.9559972603123,2.53374954392508,14.3498787435246,3.5043331078879,49.175606089345,28.2021530329401,19.492873405483,19.108036840295,10.0430848339376,6.22750314488909,16.3607211805896,5.05535614984076,4.17038526019034,32.4606067351122,18.8661447033299,27.8450700303511,2.64747073882966,6.62007604260681,13.4453781512605,22.447596086935,17.3047305365043,13.8249758062923,16.4621247664436,33.3237064847933,2.5704958486492,0.0,25.775188803258,22.544610147329,6.31584265972766,26.9578110257447,30.2110240026586,47.9369970895395,8.69118062446133,16.4204690999612,14.7052876538081,17.093651845046,0.0,120.021822149482,21.540350461502,33.7381916329285
tRF-16-I958M80,10.4070455698508,4.660168837917,35.0078767722738,8.48670698795453,11.6578649786078,12.241600221981,54.4893800198341,0.0,15.2024972635505,9.56658582901641,7.00866621577581,14.0501731683843,16.1155160188229,3.89857468109659,0.0,15.0646272509064,21.7962610071118,0.0,25.2767807492038,12.511155780571,13.9116886007624,103.763795868314,18.5633800202341,1.32373536941483,0.0,40.3361344537815,4.48951921738701,0.0,7.89998617502419,16.4621247664436,27.7697554039944,20.5639667891936,21.5524982937606,83.7693636105884,95.8145931261484,6.31584265972766,26.9578110257447,15.1055120013293,123.26656394453,5.79412041630755,9.85228145997675,0.0,17.093651845046,3.88243972512327,21.822149481724,64.621051384506,20.2429149797571
tRF-16-JMRPFQD,39.0264208869405,58.2521104739625,70.0157535445475,53.7491442570454,81.6050548502547,32.644267258616,108.978760039668,27.9559972603123,27.8712449831759,52.6162220595903,28.0346648631032,56.2006926735372,52.3754270611745,46.7828961731591,90.7631749914014,50.215424169688,74.730037738669,147.246490625307,15.1660684495223,25.022311561142,37.0978362686996,103.763795868314,116.021125126463,25.1509720188818,13.2401520852136,40.3361344537815,40.4056729564831,46.1459480973449,49.3749135939012,32.9242495328872,77.7553151311843,5.14099169729841,7.18416609792018,77.325566409774,84.5422880524839,31.5792132986383,40.4367165386171,120.844096010634,13.6962848827256,30.4191321856146,98.5228145997675,14.7052876538081,47.0075425738766,27.1770780758629,98.1996726677578,96.931577076759,60.7287449392713
tRF-16-K8KDP1B,23.4158525321643,13.980506513751,192.543322247506,14.1445116465909,34.9735949358234,16.322133629308,65.387256023801,195.691980822186,17.7362468074756,62.1828078886067,80.5996614814218,77.2759524261137,52.3754270611745,42.8843214920625,47.7700921007376,40.1723393357504,65.3887830213354,114.525048264127,25.2767807492038,79.2373199436164,27.8233772015247,84.8976511649844,64.9718300708193,19.194162856515,28.6869961846295,13.4453781512605,40.4056729564831,51.914191609513,25.6749550688286,131.696998131549,61.0934618887877,33.4164460324397,7.18416609792018,12.887594401629,22.544610147329,44.2108986180936,121.310149615851,7.55275600066464,89.0258517377161,20.2794214570764,62.3977825798527,18.3816095672601,81.1948462639687,31.0595178009861,152.755046372068,43.080700923004,74.2240215924426
tRF-16-K8QJP1B,18.2123297472389,27.961013027502,87.5196919306844,25.4601209638636,69.9471898716469,40.8053340732701,98.0808840357014,181.71398219203,27.8712449831759,52.6162220595903,38.5476641867669,49.175606089345,36.2599110423516,35.0871721298693,47.7700921007376,30.1292545018128,80.9575408835581,98.1643270835378,45.4982053485668,54.2150083824744,18.5489181343498,141.496085274974,51.0492950556437,14.5610890635631,39.7204562556409,40.3361344537815,40.4056729564831,46.1459480973449,23.6999585250726,41.155311916109,77.7553151311843,41.1279335783873,43.1049965875211,64.437972008145,84.5422880524839,18.947527979183,94.3523385901065,83.0803160073111,41.0888546481767,20.2794214570764,83.7443924098024,22.0579314807122,17.093651845046,50.4717164266025,130.932896890344,0.0,80.9716599190283
tRF-16-KQ3SW1B,7.80528417738809,2.3300844189585,26.2559075792053,11.3156093172727,23.3157299572156,24.483200443962,21.7957520079337,27.9559972603123,2.53374954392508,23.916464572541,14.0173324315516,0.0,12.0866370141172,3.89857468109659,38.2160736805901,20.0861696678752,24.9100125795564,0.0,10.1107122996815,25.022311561142,13.9116886007624,9.43307235166494,27.8450700303511,4.6330737929519,13.2401520852136,40.3361344537815,13.468557652161,11.5364870243362,17.7749688938044,49.3863742993308,33.3237064847933,28.2754543351412,7.18416609792018,19.3313916024435,33.8169152209935,6.31584265972766,26.9578110257447,7.55275600066464,13.6962848827256,10.1397107285382,16.4204690999612,22.0579314807122,4.27341296126151,23.2946383507396,32.7332242225859,10.770175230751,13.4952766531714
tRF-16-MBQ4NKD,601.006881658883,477.667305886492,2958.16558725713,231.969991004091,1678.73255691953,469.261341842606,1841.74104467039,1551.55784794733,473.81116471399,621.828078886067,564.197630369952,1433.1176631752,793.689163927029,736.830614727256,1007.94894332556,396.701850940535,725.504116379579,2274.14024410196,768.414134775795,567.172395385886,927.445906717491,1613.0553721347,1044.19012613817,116.488712508505,357.484106300768,1411.76470588235,879.945766607854,951.760179507738,323.899433175992,1300.50785654904,888.632172927821,555.227103308228,1314.70239591939,1881.58878263783,1707.75421866017,498.951570118485,1846.61005526351,1774.89766015619,1287.4507789762,321.573683105069,609.199403608562,465.054722051682,1170.91515138565,434.833249213806,894.708128750682,1378.58242953613,1228.0701754386
tRF-16-ML5F82D,26.017613924627,30.2910974464605,26.2559075792053,0.0,23.3157299572156,8.16106681465401,32.6936280119005,55.9119945206245,12.6687477196254,14.3498787435246,14.0173324315516,70.2508658419215,16.1155160188229,11.6957240432898,19.108036840295,0.0,43.5925220142236,49.0821635417689,40.442849198726,16.6815410407613,13.9116886007624,37.7322894066597,18.5633800202341,3.97120610824449,17.6535361136182,80.672268907563,22.447596086935,17.3047305365043,1.97499654375605,0.0,16.6618532423966,20.5639667891936,28.7366643916807,38.662783204887,33.8169152209935,6.31584265972766,40.4367165386171,30.2110240026586,41.0888546481767,10.1397107285382,19.7045629199535,5.51448287017804,21.3670648063076,11.6473191753698,54.5553737043099,64.621051384506,53.9811066126856
tRF-16-MNH5SYD,10.4070455698508,20.9707597706265,35.0078767722738,48.091339598409,139.894379743294,32.644267258616,54.4893800198341,97.8459904110929,17.7362468074756,81.3159795466395,49.0606635104307,21.0752597525765,20.1443950235287,7.79714936219318,47.7700921007376,15.0646272509064,59.1612798764463,32.7214423611793,20.221424599363,33.3630820815227,23.1861476679373,56.5984341099896,83.5352100910534,13.8992213788557,50.7539163266522,40.3361344537815,17.958076869548,98.0601397068579,13.8249758062923,65.8484990657744,88.8632172927821,12.852479243246,43.1049965875211,45.1065804057015,16.9084576104968,44.2108986180936,53.9156220514894,113.29134000997,89.0258517377161,13.036770936692,21.3466098299496,14.7052876538081,64.1011944189227,42.7068369763559,109.11074740862,75.391226615257,53.9811066126856
tRF-16-NS5J7KE,28.6193753170897,32.621181865419,113.77559950989,90.5248745381817,186.525839657725,53.0469342952511,130.774512047602,125.801987671405,27.8712449831759,71.7493937176231,21.0259986473274,56.2006926735372,36.2599110423516,58.4786202164489,33.4390644705163,40.1723393357504,62.2750314488909,229.050096528255,65.7196299479298,62.555778902855,27.8233772015247,132.063012923309,97.4577451062289,2.64747073882966,13.2401520852136,94.1176470588235,58.3637498260311,40.3777045851768,43.4499239626331,98.7727485986616,27.7697554039944,59.1214045189317,64.6574948812817,309.302265639096,197.265338789129,63.1584265972766,242.620299231702,60.4220480053171,198.596130799521,34.7647224978453,4.92614072998837,25.7342533941642,59.8277814576612,69.8839150522188,163.66612111293,43.080700923004,141.7004048583
tRF-16-NY2V7KE,23.4158525321643,16.3105909327095,0.0,59.4069489156817,151.552244721902,8.16106681465401,32.6936280119005,181.71398219203,0.0,38.2663433160656,31.5389979709911,7.02508658419215,4.02887900470573,54.5800455353523,4.77700921007376,45.1938817527192,46.7062735866682,32.7214423611793,5.05535614984076,20.8519263009517,13.9116886007624,18.8661447033299,9.28169001011704,9.92801527061122,61.7873763976636,0.0,4.48951921738701,98.0601397068579,9.87498271878024,24.6931871496654,5.55395108079888,2.5704958486492,14.3683321958404,6.4437972008145,56.3615253683226,63.1584265972766,202.183582693085,22.6582680019939,20.5444273240883,28.9706020815378,0.0,0.0,8.54682592252302,27.1770780758629,98.1996726677578,10.770175230751,6.7476383265857
tRF-16-PSQP4PE,137.893353800523,214.367766544182,761.421319796954,246.114502650681,419.683139229881,204.02667036635,425.017164154706,573.097943836402,281.246199375684,248.731231554427,220.772985796938,421.505195051529,290.079288338813,257.305928952375,444.261856536859,195.840154261783,224.190113216007,605.346683681817,257.823163641879,321.119665034656,171.577492742736,547.118196396566,464.084500505852,83.3953282731343,116.95467675272,389.915966386555,202.028364782415,305.71690614491,209.349633638141,510.325867759752,483.193744029503,519.240161427139,625.022450519056,753.924272495296,867.967490672168,176.843594472374,404.367165386171,392.743312034561,198.596130799521,175.272142593303,195.403582289539,248.151729158012,414.521057242367,232.946383507396,185.488270594654,527.738586306799,236.167341430499
tRF-16-Q01LQKB,13.0088069623135,16.3105909327095,26.2559075792053,11.3156093172727,81.6050548502547,12.241600221981,32.6936280119005,13.9779986301561,0.0,19.1331716580328,10.5129993236637,14.0501731683843,0.0,23.3914480865795,23.8850460503688,10.0430848339376,15.5687578622227,65.4428847223586,20.221424599363,37.533467341713,4.63722953358745,37.7322894066597,32.4859150354096,2.64747073882966,28.6869961846295,40.3361344537815,31.4266345217091,28.8412175608405,3.9499930875121,24.6931871496654,11.1079021615978,17.9934709405444,35.9208304896009,6.4437972008145,45.0892202946581,37.895055958366,26.9578110257447,37.7637800033232,13.6962848827256,5.79412041630755,14.7784221899651,11.0289657403561,21.3670648063076,31.0595178009861,32.7332242225859,43.080700923004,47.2334682860999
