Trfs,Ester_24h_CNT_F_S_S5_R1_001.flexbar_q.fastq,Ester_24h_CNT_F_S_S6_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_S_S17_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_S_S18_R1_001.flexbar_q.fastq,Ester_24h_LPS_F_S_S7_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_S_S19_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_S_S20_R1_001.flexbar_q.fastq,Ester_24h_PS_F_S_S8_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_S_S1_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_S_S2_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_S_S13_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_S_S14_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_S_S3_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_S_S4_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_S_S15_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_S_S16_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_S_S10_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_S_S9_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_S_S21_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_S_S22_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_S_S11_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_S_S12_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_S_S23_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_S_S24_R1_001.flexbar_q.fastq,Pearson_correlation,p_values
tRF-20-RPM830MM,50.78,23.41,65.04,128.07,83.75,14.34,224.16,58.44,0.0,59.11,75.03,296.56,117.13,68.39,109.53,13.82,7.71,14.36,101.01,0.0,8.69,1.64,166.85,10.9,-0.124980804136601,0.5606461981402049
tRF-20-RX8HWVZ5,15.23,10.4,16.97,104.78,27.92,43.01,3.5,11.69,35.12,18.67,12.5,18.53,5.29,4.41,51.88,5.92,0.0,7.18,0.0,26.92,11.58,8.21,23.28,10.9,-0.12683634920942985,0.5547944125522685
tRF-20-S3M8309N,35.54,72.82,14.14,116.43,111.66,28.68,42.03,62.34,30.1,28.0,91.7,129.74,16.54,15.44,57.65,23.69,38.54,43.07,18.94,148.07,28.96,22.98,23.28,21.8,-0.3029362579932465,0.15017302362819201
tRF-20-V47P596V,45.7,23.41,50.9,151.35,83.75,38.24,45.53,70.13,5.02,56.0,45.85,9.27,17.87,59.56,63.41,73.04,33.4,43.07,56.82,121.15,8.69,47.59,23.28,43.59,-0.2580065188119033,0.2235154718311511
tRF-20-VBY9PYKH,670.25,314.7,274.3,1024.54,1507.45,736.03,476.33,467.53,381.32,541.31,591.88,481.91,133.67,379.43,564.94,534.98,452.15,803.91,511.36,1049.95,330.13,1265.35,353.11,1144.35,0.22870102856058647,0.28241158234609814
tRF-20-WB0Q37Q5,10.16,10.4,14.14,0.0,69.79,28.68,17.51,23.38,10.03,43.55,20.84,27.8,2.65,15.44,34.59,9.87,7.71,35.89,18.94,53.84,5.79,4.92,42.68,10.9,-0.1023454834663422,0.6341631614753733
tRF-21-18YKISQID,25.39,15.61,8.48,23.29,0.0,14.34,21.01,15.58,25.09,21.78,25.01,18.53,10.59,6.62,11.53,11.84,23.12,43.07,37.88,80.77,7.24,27.9,7.76,32.7,-0.11681574382873691,0.5867205014398988
tRF-21-2E489B3RB,55.85,7.8,19.79,23.29,41.87,14.34,14.01,11.69,20.07,6.22,25.01,9.27,2.65,4.41,28.82,29.61,20.55,28.71,0.0,40.38,18.82,27.9,19.4,21.8,0.04812642814618584,0.823291835635368
tRF-21-40KK5Y93E,15.23,2.6,28.28,69.86,41.87,43.01,14.01,27.27,15.05,49.78,25.01,37.07,11.25,15.44,46.12,27.64,15.41,21.53,25.25,67.3,21.72,52.52,23.28,87.19,0.29483340112448536,0.16193488793622818
tRF-21-8EKSP185D,35.54,13.0,5.66,34.93,153.54,28.68,52.54,38.96,15.05,21.78,20.84,78.77,6.62,17.65,51.88,21.72,17.98,86.13,44.19,13.46,39.09,41.03,50.44,32.7,0.09292452374181315,0.6658360850684277
tRF-21-9MVH7P59D,20.31,20.81,16.97,116.43,125.62,38.24,35.02,35.07,50.17,31.11,37.51,9.27,9.93,26.47,46.12,15.79,2.57,35.89,25.25,13.46,26.06,13.13,23.28,32.7,-0.10330696592608354,0.6309642989271849
tRF-21-9N1EWJQ7D,20.31,5.2,0.0,46.57,13.96,23.9,21.01,15.58,15.05,31.11,12.5,9.27,1.99,8.82,11.53,7.9,17.98,43.07,0.0,0.0,4.34,13.13,3.88,32.7,-0.04128921842717175,0.8480883806627584
tRF-21-FSXMSL73E,20.31,18.21,19.79,69.86,27.92,43.01,21.01,23.38,15.05,21.78,12.5,9.27,8.6,11.03,23.06,23.69,10.28,14.36,6.31,40.38,17.38,4.92,7.76,54.49,0.004794583511573372,0.982260738235478
tRF-21-JOWU1M70E,116.79,36.41,70.7,128.07,279.16,152.94,87.56,46.75,60.21,136.88,141.72,125.11,44.34,63.97,132.59,80.94,89.92,143.56,88.38,215.38,72.4,152.63,69.85,108.99,-0.0456591656123211,0.832222233547321
tRF-21-LMK8J7K1B,137.1,127.44,39.59,116.43,293.12,71.69,94.57,124.68,10.03,96.44,70.86,171.45,15.88,22.06,74.94,51.33,231.21,186.62,88.38,148.07,62.26,118.16,65.97,130.78,-0.05388548407245753,0.8025310206552061
tRF-21-LNK8KEP1B,25.39,13.0,2.83,58.21,41.87,23.9,21.01,11.69,5.02,9.33,4.17,27.8,2.65,0.0,11.53,11.84,15.41,14.36,12.63,13.46,15.93,29.54,7.76,10.9,0.02594087154956133,0.9042301054956323
tRF-21-MNH5SYNXD,45.7,28.61,87.66,197.92,125.62,124.27,70.05,50.65,60.21,146.22,141.72,60.24,31.1,44.12,121.06,67.12,53.95,150.73,94.7,67.3,50.68,59.08,89.25,76.29,-0.16826831425947913,0.4318878288981451
tRF-21-NB8PLML3E,15.23,5.2,19.79,69.86,27.92,9.56,21.01,15.58,15.05,40.44,33.35,27.8,11.91,13.24,5.76,11.84,5.14,14.36,6.31,107.69,20.27,36.11,15.52,10.9,-0.07342069767158148,0.7331444434978347
tRF-21-R29P4P9L0,126.94,31.21,70.7,69.86,125.62,90.81,31.52,66.23,100.35,112.0,66.69,46.34,19.85,24.27,74.94,201.36,169.56,71.78,37.88,67.3,247.59,45.95,58.2,21.8,0.08364755171587754,0.697576592018826
tRF-21-S3M8309NB,91.4,7.8,22.62,11.64,69.79,62.13,7.0,42.86,35.12,37.33,29.18,9.27,5.29,4.41,98.0,9.87,28.26,64.6,18.94,67.3,18.82,21.34,31.04,76.29,0.028713847453316163,0.8940461422095689
tRF-21-UMX0S75ND,50.78,10.4,14.14,58.21,55.83,62.13,24.52,38.96,10.03,37.33,16.67,55.6,2.65,17.65,34.59,25.66,35.97,64.6,0.0,13.46,14.48,6.56,46.56,21.8,-0.12987223149839422,0.5452805843163611
tRF-21-V47P596VE,187.87,109.24,107.46,174.64,237.28,200.74,101.57,159.74,90.31,108.89,212.58,139.01,33.09,90.44,172.94,211.23,100.19,229.69,126.26,148.07,65.16,201.86,147.45,141.68,-0.025645372504369393,0.9053162402862923
tRF-21-V81H93WBE,30.47,10.4,11.31,23.29,13.96,33.46,14.01,7.79,15.05,12.44,8.34,0.0,1.32,0.0,17.29,1.97,17.98,28.71,12.63,40.38,1.45,8.21,11.64,65.39,0.1690899607214938,0.42960988768477226
tRF-21-VBY9PYKHD,167.56,62.42,36.76,267.78,321.03,205.52,143.6,112.99,75.26,127.55,154.22,78.77,21.84,50.74,115.29,90.81,110.47,179.44,94.7,201.91,50.68,262.59,62.09,196.17,0.1030367459790025,0.6318626774049168
tRF-21-W0K67205D,15.23,7.8,33.93,11.64,41.87,23.9,21.01,11.69,55.19,31.11,12.5,41.7,5.96,11.03,11.53,15.79,17.98,28.71,12.63,40.38,18.82,37.75,11.64,32.7,0.07508469042500376,0.7273186170905329
tRF-21-WB08Q2B5D,20.31,5.2,5.66,34.93,83.75,4.78,10.51,3.9,15.05,24.89,12.5,4.63,0.66,2.21,11.53,0.0,2.57,28.71,12.63,13.46,5.79,14.77,0.0,21.8,-0.05829537275913046,0.7867202198906043
tRF-21-WB0Q37Q5D,111.71,85.83,33.93,116.43,293.12,119.49,94.57,105.2,60.21,155.55,75.03,69.51,13.23,72.8,69.18,67.12,87.35,272.76,119.95,255.76,52.13,11.49,73.73,228.87,-0.0832775640267891,0.6988531670695406
tRF-21-WB8647O5D,5.08,7.8,5.66,0.0,41.87,23.9,7.0,27.27,5.02,18.67,25.01,9.27,4.63,11.03,0.0,13.82,15.41,71.78,31.57,67.3,10.14,44.31,11.64,32.7,0.10965129710769703,0.6100197331787058
tRF-21-WB86N7O5D,86.32,57.22,42.42,93.14,321.03,152.94,66.55,66.23,45.16,80.89,91.7,74.14,17.2,30.88,74.94,53.3,92.49,93.31,25.25,94.23,47.78,121.45,62.09,76.29,0.03160178562126799,0.8834572342739327
tRF-21-WD8S746DD,375.75,189.86,130.08,384.2,1088.72,119.49,119.08,319.48,230.8,320.43,162.56,250.22,54.26,101.47,201.77,94.76,151.57,394.78,132.57,363.45,146.24,320.03,190.14,196.17,-0.04289639146913482,0.8422461595183413
tRF-21-WD8SS46DD,101.55,52.02,25.45,116.43,167.49,90.81,49.03,155.84,40.14,105.77,54.19,97.31,13.9,33.09,46.12,31.59,64.23,172.27,44.19,161.53,55.02,170.68,46.56,87.19,0.0988863786039386,0.6457239629674917
tRF-21-WD8YQ84VD,30.47,15.61,5.66,23.29,55.83,4.78,14.01,11.69,20.07,28.0,4.17,4.63,3.31,13.24,5.76,11.84,17.98,28.71,12.63,40.38,11.58,22.98,7.76,10.9,-0.11415200291829519,0.5953383420758346
tRF-21-WE884U1DD,35.54,10.4,14.14,0.0,111.66,14.34,24.52,19.48,10.03,28.0,25.01,9.27,9.26,15.44,0.0,13.82,20.55,86.13,25.25,13.46,15.93,45.95,7.76,43.59,0.09900207133478235,0.6453359937606943
tRF-21-WE8S68L5D,76.16,26.01,31.11,93.14,167.49,66.91,66.55,31.17,40.14,52.89,54.19,60.24,13.23,33.09,34.59,25.66,107.9,107.67,18.94,94.23,31.85,116.52,38.8,65.39,0.0613700569778578,0.7757443284799406
tRF-21-WE8SPOL5D,147.25,41.61,8.48,81.5,111.66,124.27,52.54,97.4,25.09,31.11,45.85,78.77,18.53,28.68,28.82,27.64,107.9,193.8,25.25,53.84,44.89,290.49,65.97,119.88,0.39223312226709905,0.057995108579973254
tRF-21-WE8SPOX5D,365.59,85.83,149.88,337.63,977.05,368.02,227.66,233.77,140.49,223.99,291.77,375.33,77.42,183.1,190.24,199.38,351.96,595.76,113.63,201.91,208.5,597.39,116.41,130.78,0.008844176537996185,0.9672838560517358
tRF-21-WEKSP185D,60.93,26.01,11.31,116.43,558.32,14.34,28.02,42.86,25.09,49.78,62.52,143.65,1.99,39.71,28.82,13.82,30.83,50.24,31.57,0.0,26.06,8.21,31.04,87.19,-0.04528445363832877,0.8335803165519
tRF-21-WEKSPM85D,279.27,114.44,62.21,302.71,614.15,200.74,185.63,187.01,105.36,174.22,208.41,347.53,27.79,88.24,138.35,100.68,215.8,344.53,170.45,309.6,143.34,298.69,162.97,228.87,0.035690007270721205,0.8685008286650397
tRF-21-WP9N1EWJ0,50.78,7.8,0.0,11.64,69.79,4.78,14.01,27.27,15.05,12.44,20.84,37.07,11.25,11.03,0.0,13.82,10.28,14.36,6.31,0.0,10.14,9.85,7.76,10.9,-0.12474117787039757,0.5614039226365922
tRF-21-WPMN1E8Y0,30.47,5.2,14.14,11.64,13.96,19.12,7.0,23.38,20.07,9.33,12.5,9.27,3.97,8.82,28.82,13.82,12.85,14.36,0.0,13.46,5.79,18.05,34.92,0.0,0.062361827494057935,0.7722127022190187
tRF-21-XSXMSL73E,35.54,33.81,59.38,81.5,97.71,62.13,77.05,11.69,30.1,59.11,58.35,27.8,19.19,30.88,46.12,41.46,33.4,35.89,56.82,94.23,26.06,8.21,69.85,76.29,-0.04105147331792762,0.8489532728589386
tRF-22-18YKISQI3,50.78,83.23,28.28,46.57,69.79,52.57,3.5,66.23,20.07,34.22,25.01,23.17,21.84,22.06,46.12,13.82,43.67,50.24,44.19,148.07,5.79,44.31,34.92,87.19,-0.01908652399315436,0.9294628997407322
tRF-22-1EWJQ72SJ,40.62,54.62,39.59,104.78,41.87,43.01,21.01,50.65,30.1,65.33,54.19,13.9,10.59,24.27,57.65,51.33,35.97,21.53,25.25,94.23,8.69,72.21,42.68,54.49,-0.00955917289460538,0.9646405111068238
tRF-22-43RX6NMH3,81.24,10.4,14.14,0.0,0.0,14.34,0.0,3.9,50.17,9.33,25.01,37.07,4.63,4.41,17.29,1.97,33.4,14.36,12.63,13.46,4.34,4.92,11.64,0.0,-0.29335292732066426,0.1641518005659371
tRF-22-79MP9P9MI,40.62,15.61,2.83,69.86,27.92,4.78,17.51,0.0,10.03,12.44,20.84,4.63,1.32,6.62,11.53,5.92,2.57,35.89,0.0,40.38,7.24,3.28,19.4,10.9,-0.16497452656686543,0.44108457867756423
tRF-22-86J8WPMNH,25.39,10.4,11.31,58.21,55.83,14.34,7.0,15.58,20.07,21.78,12.5,13.9,4.63,11.03,17.29,3.95,5.14,21.53,18.94,0.0,8.69,8.21,11.64,32.7,-0.0355085145906085,0.8691639144204194
tRF-22-8B8871K92,10.16,7.8,0.0,11.64,27.92,47.79,10.51,19.48,20.07,24.89,4.17,4.63,4.63,6.62,11.53,9.87,5.14,28.71,6.31,0.0,14.48,13.13,0.0,32.7,0.1337575983687786,0.5332156903765157
tRF-22-8B8SOUPR2,71.09,26.01,11.31,104.78,167.49,23.9,59.54,15.58,10.03,40.44,62.52,69.51,5.29,13.24,17.29,9.87,28.26,14.36,18.94,80.77,17.38,37.75,50.44,32.7,-0.04574803540246687,0.8319002075227527
tRF-22-8BWS72092,96.48,46.82,31.11,174.64,265.2,66.91,42.03,89.61,70.24,99.55,66.69,176.08,29.78,41.91,69.18,53.3,59.09,172.27,63.13,174.99,83.98,164.12,65.97,108.99,0.08619539294067338,0.6888074938892701
tRF-22-8BWS7K092,66.01,41.61,25.45,128.07,139.58,28.68,49.03,46.75,20.07,34.22,33.35,64.87,9.26,17.65,34.59,21.72,30.83,100.49,6.31,26.92,30.41,75.49,38.8,21.8,-0.02063543147739517,0.9237543064966296
tRF-22-8BWSNKP92,50.78,18.21,8.48,34.93,55.83,19.12,35.02,35.07,30.1,46.67,4.17,18.53,5.29,6.62,23.06,7.9,17.98,43.07,12.63,53.84,15.93,41.03,11.64,32.7,0.005808529273934937,0.978510056457983
tRF-22-8EKSP1852,548.39,241.88,180.98,617.05,2386.8,281.99,388.77,498.7,145.5,419.99,333.45,639.45,86.02,191.92,472.71,165.82,259.47,251.22,303.03,296.14,218.64,356.14,473.4,490.44,0.01997899046251683,0.9261732301471293
tRF-22-8EKSPM852,208.18,41.61,28.28,209.57,516.44,81.25,73.55,101.3,55.19,80.89,50.02,185.35,14.56,57.36,98.0,53.3,66.79,78.96,56.82,94.23,60.81,241.25,93.13,65.39,0.07599062531721151,0.7241529655329054
tRF-22-8LHYD3MUN,20.31,5.2,2.83,11.64,55.83,9.56,3.5,11.69,0.0,3.11,0.0,46.34,3.31,11.03,0.0,9.87,25.69,0.0,37.88,40.38,14.48,16.41,50.44,0.0,0.13091647538742965,0.5420256449435068
tRF-22-8XF6RE98N,30.47,0.0,48.07,23.29,0.0,4.78,45.53,7.79,20.07,28.0,0.0,27.8,7.28,13.24,34.59,11.84,25.69,14.36,18.94,53.84,7.24,26.26,19.4,65.39,0.16225996616166888,0.4487417478780004
tRF-22-9MVH7P593,71.09,20.81,42.42,128.07,125.62,62.13,28.02,42.86,30.1,46.67,33.35,27.8,7.28,8.82,132.59,71.07,20.55,57.42,31.57,40.38,17.38,32.82,34.92,10.9,-0.2605126895110491,0.21889121107034748
tRF-22-9N1EWJQ72,76.16,23.41,8.48,81.5,41.87,14.34,31.52,23.38,25.09,68.44,50.02,27.8,1.32,24.27,74.94,21.72,12.85,7.18,18.94,80.77,4.34,34.46,23.28,65.39,-0.07839174456580991,0.715783937140932
tRF-22-DRFU8U76F,15.23,28.61,8.48,11.64,27.92,14.34,3.5,11.69,5.02,15.56,33.35,18.53,1.32,8.82,0.0,3.95,17.98,50.24,0.0,67.3,1.45,8.21,23.28,21.8,-0.10193122436566089,0.6355433718927022
tRF-22-MNH5SYNX2,20.31,0.0,5.66,69.86,13.96,28.68,38.53,11.69,5.02,21.78,8.34,0.0,1.32,0.0,23.06,9.87,7.71,14.36,0.0,53.84,2.9,6.56,23.28,10.9,-0.10460087897794332,0.6266695732017199
tRF-22-N1EH6KK8N,10.16,10.4,14.14,0.0,27.92,14.34,3.5,11.69,5.02,6.22,0.0,9.27,2.65,19.85,23.06,9.87,5.14,14.36,18.94,53.84,2.9,24.62,11.64,0.0,-0.09437072526513354,0.6609361421773572
tRF-22-NMEH623KN,35.54,10.4,8.48,23.29,69.79,43.01,24.52,23.38,20.07,28.0,25.01,18.53,7.94,11.03,23.06,11.84,2.57,7.18,6.31,67.3,1.45,24.62,11.64,21.8,-0.12391438408833838,0.5640218650533881
tRF-22-NRDF7UK8N,30.47,26.01,31.11,81.5,83.75,43.01,35.02,31.17,25.09,40.44,41.68,41.7,15.22,41.91,69.18,35.53,5.14,43.07,31.57,80.77,23.17,21.34,31.04,130.78,0.15104704782996514,0.4811014332625721
tRF-22-PS5P4PW3H,101.55,15.61,48.07,11.64,27.92,81.25,35.02,50.65,85.3,99.55,25.01,18.53,21.84,15.44,40.35,88.83,46.24,50.24,18.94,80.77,79.64,39.39,31.04,43.59,0.002433408068533545,0.9909962318314276
tRF-22-R29P4P9LL,55.85,23.41,36.76,81.5,97.71,33.46,14.01,54.55,45.16,28.0,33.35,27.8,12.57,24.27,17.29,23.69,48.81,86.13,12.63,26.92,8.69,24.62,50.44,65.39,-0.009063680077392104,0.9664723136004039
tRF-22-S3M8309NF,126.94,54.62,0.0,93.14,195.41,114.71,45.53,74.03,50.17,37.33,45.85,64.87,8.6,15.44,34.59,35.53,102.76,100.49,50.5,161.53,36.2,44.31,65.97,43.59,-0.14291774009450636,0.5052785347215887
tRF-22-VBY9PYKHK,10.16,5.2,11.31,23.29,69.79,19.12,3.5,15.58,0.0,9.33,41.68,9.27,7.28,4.41,0.0,25.66,15.41,14.36,6.31,13.46,4.34,44.31,27.16,32.7,0.3149022176487653,0.13393124833276623
tRF-22-VF4YO9XEJ,10.16,18.21,5.66,0.0,97.71,33.46,31.52,15.58,15.05,31.11,20.84,23.17,4.63,15.44,11.53,5.92,25.69,21.53,0.0,13.46,5.79,6.56,27.16,54.49,0.136629954210705,0.5243779298315518
tRF-22-W0K672052,172.64,93.63,59.38,244.49,307.07,109.93,175.12,101.3,110.38,189.77,112.54,176.08,51.61,46.33,86.47,53.3,107.9,129.2,44.19,336.52,102.8,270.79,120.29,141.68,0.12961031175385837,0.5460984085551681
tRF-22-WB08Q2B52,45.7,20.81,14.14,81.5,139.58,33.46,59.54,19.48,20.07,62.22,20.84,88.04,3.31,26.47,23.06,11.84,33.4,35.89,31.57,26.92,28.96,42.67,50.44,43.59,0.06249065935749358,0.7717542611253598
tRF-22-WB0Q37Q52,126.94,80.63,25.45,244.49,334.99,114.71,94.57,93.51,40.14,62.22,137.55,106.58,5.96,48.53,86.47,23.69,61.66,129.2,82.07,134.61,36.2,29.54,89.25,141.68,-0.09894523755375073,0.6455265715088596
tRF-22-WB863IP52,35.54,18.21,22.62,58.21,69.79,4.78,28.02,19.48,50.17,34.22,45.85,13.9,4.63,19.85,17.29,9.87,30.83,28.71,37.88,80.77,21.72,39.39,38.8,10.9,-0.0877355471448952,0.6835253418796885
tRF-22-WB8647O52,76.16,67.62,19.79,209.57,251.24,105.15,126.09,159.74,80.28,108.89,112.54,101.94,15.22,44.12,51.88,47.38,87.35,222.51,75.76,296.14,62.26,150.99,85.37,54.49,-0.09538376411710928,0.6575118339243082
tRF-22-WB8689SV2,35.54,7.8,11.31,104.78,41.87,9.56,21.01,66.23,25.09,6.22,12.5,18.53,6.62,15.44,23.06,7.9,25.69,14.36,12.63,26.92,18.82,27.9,19.4,43.59,0.07208561680788697,0.7378290871782978
tRF-22-WB86N7O52,599.16,257.49,158.36,593.77,893.31,281.99,350.24,315.59,230.8,304.88,279.27,417.04,64.19,189.71,276.71,155.95,369.94,1033.6,258.84,471.13,266.42,507.12,236.7,326.96,-0.05295685531638914,0.8058702639002543
tRF-22-WB86Q3P92,106.63,75.42,33.93,244.49,432.69,133.82,101.57,89.61,60.21,136.88,62.52,148.28,15.88,35.3,98.0,61.2,177.26,279.93,44.19,242.3,88.32,231.41,120.29,65.39,0.022448161090141375,0.917078035216301
tRF-22-WB8Y3DUV2,81.24,54.62,31.11,116.43,265.2,9.56,66.55,54.55,30.1,49.78,25.01,60.24,11.25,35.3,34.59,25.66,59.09,143.56,37.88,94.23,30.41,68.93,19.4,108.99,-0.015946841325793923,0.9410444679887806
tRF-22-WD8S746D2,304.66,106.64,82.01,372.56,809.56,176.84,203.14,307.79,190.66,261.32,179.23,213.15,36.4,116.92,167.18,96.73,154.14,244.04,107.32,403.83,141.9,320.03,166.85,174.38,-0.008111980510518764,0.9699911345528055
tRF-22-WD8SS46D2,71.09,31.21,25.45,81.5,181.45,33.46,31.52,50.65,55.19,68.44,66.69,92.67,20.51,26.47,23.06,43.43,33.4,71.78,31.57,67.3,43.44,90.26,46.56,43.59,0.03476946064707854,0.8718649364107707
tRF-22-WD8YQ84V2,228.49,132.64,67.87,256.14,614.15,129.04,154.11,167.53,140.49,289.32,179.23,148.28,61.54,134.56,167.18,134.24,141.3,258.4,94.7,174.99,127.42,285.56,151.33,152.58,0.028767177737643042,0.8938504367227675
tRF-22-WE884U1D2,91.4,33.81,31.11,116.43,307.07,47.79,35.02,77.92,30.1,146.22,50.02,74.14,24.48,33.09,34.59,41.46,51.38,86.13,12.63,40.38,55.02,201.86,65.97,43.59,0.17722371128095302,0.407413107059727
tRF-22-WE8S68L52,126.94,23.41,14.14,209.57,251.24,62.13,73.55,42.86,25.09,52.89,79.2,92.67,17.2,26.47,46.12,47.38,74.5,114.84,44.19,94.23,57.92,200.22,46.56,43.59,0.09313623195388537,0.6651179512876522
tRF-22-WE8SP6X52,66.01,13.0,8.48,69.86,223.33,33.46,91.06,35.07,25.09,40.44,29.18,88.04,14.56,33.09,17.29,1.97,23.12,28.71,37.88,26.92,11.58,108.32,11.64,10.9,-0.012851355227949307,0.9524743777386684
tRF-22-WE8SPOL52,96.48,59.82,53.73,244.49,614.15,109.93,133.09,109.09,105.36,112.0,137.55,171.45,34.41,72.8,138.35,132.26,125.88,287.11,63.13,161.53,83.98,526.82,81.49,65.39,0.1505476659076988,0.4825695230763579
tRF-22-WE8SPOX52,761.65,228.88,217.74,1164.25,1870.36,563.97,665.46,420.78,296.02,525.76,508.52,611.65,168.74,308.84,530.35,371.13,441.87,638.82,265.15,403.83,480.71,1322.79,356.99,250.67,0.10288847975612261,0.6323558211233413
tRF-22-WEK6PM852,177.72,98.83,48.07,163.0,1088.72,43.01,98.07,194.81,90.31,124.44,70.86,152.91,17.87,35.3,74.94,35.53,43.67,78.96,75.76,107.69,62.26,83.7,62.09,174.38,-0.018405118675314046,0.9319753465714622
tRF-22-WEK879652,0.0,7.8,25.45,23.29,97.71,43.01,14.01,11.69,35.12,28.0,25.01,9.27,7.94,17.65,0.0,19.74,20.55,50.24,6.31,26.92,24.61,68.93,11.64,65.39,0.35075651059438545,0.09286146184621324
tRF-22-WEKSP1852,1411.59,460.35,248.85,1199.18,5708.78,406.25,364.25,1200.0,240.83,550.65,641.9,1728.38,68.16,487.52,755.18,167.8,739.88,1428.38,429.29,942.27,451.75,108.32,644.13,686.61,-0.11209313037817256,0.6020358327957733
tRF-22-WEKSPM852,4620.67,2010.47,1269.7,5076.14,12590.03,2370.6,2273.09,2984.42,1786.18,3331.88,3101.11,4888.58,561.15,1652.27,2651.77,1855.65,4125.87,6323.62,2007.55,5007.47,2484.63,5391.26,2564.89,3008.01,0.008477845872446675,0.9686383135101863
tRF-22-WKXU53K8N,15.23,7.8,16.97,46.57,69.79,19.12,14.01,15.58,10.03,18.67,29.18,23.17,3.31,13.24,17.29,11.84,2.57,0.0,0.0,13.46,11.58,19.69,3.88,0.0,-0.16115126990161865,0.45188918260065336
tRF-22-WURMJKYON,55.85,20.81,25.45,104.78,125.62,47.79,80.56,38.96,10.03,77.78,62.52,69.51,11.25,22.06,63.41,21.72,25.69,50.24,75.76,67.3,18.82,14.77,11.64,163.48,0.021626553789313524,0.9201033623169401
tRF-22-YU8R6Q46J,35.54,20.81,5.66,11.64,13.96,14.34,7.0,31.17,50.17,12.44,29.18,27.8,1.32,6.62,0.0,1.97,51.38,0.0,6.31,13.46,13.03,16.41,15.52,54.49,0.16990097688000189,0.4273677988151508
tRF-22-ZKXU53K8N,81.24,26.01,59.38,244.49,125.62,47.79,101.57,35.07,10.03,93.33,104.2,139.01,17.2,57.36,69.18,21.72,56.52,129.2,82.07,107.69,28.96,111.6,15.52,43.59,-0.22752439631976878,0.2849629898222861
tRF-22-ZRS3S3R65,35.54,13.0,2.83,34.93,13.96,28.68,21.01,23.38,0.0,49.78,25.01,18.53,7.94,6.62,5.76,17.77,2.57,21.53,25.25,13.46,10.14,1.64,15.52,21.8,-0.17755350125326333,0.4065267660282561
tRF-23-392J1Y0SDZ,35.54,18.21,33.93,104.78,69.79,28.68,52.54,23.38,30.1,46.67,33.35,18.53,9.93,33.09,63.41,25.66,7.71,35.89,63.13,13.46,17.38,36.11,15.52,21.8,-0.22950028917563786,0.280686707438218
tRF-23-3JVIJMRP9,76.16,18.21,22.62,151.35,251.24,100.37,42.03,38.96,30.1,52.89,70.86,23.17,24.48,33.09,86.47,35.53,43.67,93.31,63.13,40.38,30.41,210.07,50.44,65.39,0.20003654783077585,0.348665832908379
tRF-23-3W2VR008DZ,76.16,28.61,50.9,139.71,209.37,62.13,35.02,70.13,50.17,52.89,58.35,60.24,18.53,19.85,63.41,7.9,20.55,35.89,31.57,94.23,24.61,27.9,62.09,98.09,-0.007383854954479723,0.9726836815934625
tRF-23-79MP9P9MDD,274.19,114.44,110.29,267.78,614.15,191.18,105.07,319.48,200.69,171.11,91.7,185.35,41.69,110.3,172.94,86.86,182.4,258.4,113.63,161.53,99.91,83.7,190.14,119.88,-0.15153189611245538,0.4796782364204838
tRF-23-79MP9P9NDE,111.71,67.62,214.92,291.06,348.95,382.35,259.18,136.36,200.69,189.77,183.4,101.94,62.2,86.03,213.29,122.39,71.93,222.51,239.9,269.22,101.35,54.16,232.82,283.36,-0.02561756703119924,0.9054184504515308
tRF-23-87R718YKDE,10.16,5.2,5.66,11.64,27.92,52.57,21.01,23.38,10.03,18.67,0.0,9.27,2.65,8.82,11.53,7.9,5.14,21.53,6.31,13.46,14.48,11.49,11.64,10.9,0.05014430434590837,0.8160037535210536
tRF-23-9LON4VN18,45.7,33.81,22.62,81.5,125.62,124.27,21.01,19.48,10.03,43.55,75.03,18.53,13.9,33.09,63.41,17.77,23.12,64.6,44.19,174.99,21.72,70.57,27.16,43.59,-0.0833401583465316,0.6986371410100576
tRF-23-9N1EWJQ7D1,30.47,10.4,8.48,23.29,0.0,19.12,7.0,15.58,5.02,12.44,25.01,0.0,5.96,8.82,5.76,15.79,10.28,0.0,12.63,94.23,8.69,18.05,7.76,32.7,0.0038505718800583982,0.9857530564439377
