Trfs,Ester_24h_CNT_F_T_S29_R1_001.flexbar_q.fastq,Ester_24h_CNT_F_T_S30_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_T_S41_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_T_S42_R1_001.flexbar_q.fastq,Ester_24h_LPS_F_T_S31_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_T_S43_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_T_S44_R1_001.flexbar_q.fastq,Ester_24h_PS_F_T_S32_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_T_S25_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_T_S26_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_T_S37_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_T_S38_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_T_S27_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_T_S28_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_T_S39_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_T_S40_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_T_S33_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_T_S34_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_T_S45_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_T_S46_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_T_S35_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_T_S36_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_T_S47_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_T_S48_R1_001.flexbar_q.fastq
tRF-30-P4R8YP9LON4V,0.8315123775763688,-1.2438125743917556,0.7877520755257414,-0.3754518787103535,-0.20768065727147253,-0.9194779093351154,1.4227026451386897,-0.2955440785321027,1.2519537706453714,-1.0455674234873509,0.29561934939528395,-0.5020056965533043,-0.45412544342134026,0.7095600812550781,-1.1901840585431107,0.9347494207093722,-0.1277702618393052,-1.054951734150806,1.3566504657464111,-0.17392846975629994,-0.6198433639028423,-0.7821858203978284,1.4155552242276102,-0.013526039926939772
tRF-30-PER8YP9LON4V,1.4697131398285253,-0.7657871348814669,-0.4056167089859833,-0.2983092959610752,-0.6081602808573259,-0.4622650628235477,1.495302999956266,-0.42487765627539265,1.0811151980270546,-0.9678445503683872,0.6097173362188681,-0.7229879838775362,-0.12581632260365527,-0.34777181354525555,-0.9360405659041452,1.4096287020530562,0.6105758374656157,-0.8794479884287869,1.0877519375047504,-0.8188797865415801,-1.171398404682432,-0.4061072027998441,0.45811648803873006,1.1193891194435472
tRF-30-PIR8YP9LON4V,1.4328844237090415,-0.20583765627282924,-0.8888878720007161,-0.33815889543549615,-0.16078798865712024,-1.1349882725439506,1.298438199521131,-0.002661938320059765,1.282391428976679,-0.9136391823034603,0.29141088664461207,-0.6601631333178313,-0.3520910767126105,-0.25934584500605795,-0.8392365713923792,1.450673493111049,0.3688247946721312,-1.0328397518645367,1.2199129876780663,-0.5558980304856603,-1.4138221299183706,0.3553524631474022,0.132591042213208,0.9258786245577608
tRF-30-PNR8YO9LON4V,1.1396462187132905,-0.8037615399306497,0.5387275355787213,-0.8746122143613632,0.27113445716634704,-0.9360926649383754,1.2888085240504223,-0.6238503162783942,1.2668804872860908,-0.9035944938951854,0.3245893931409996,-0.6878753865319054,-0.14220224280652888,0.12475272456572752,-1.2086624095754919,1.226111927816293,0.19493873864755337,-0.9844355562831413,1.3115997902236471,-0.522102972588059,0.28907883996183553,-1.099455224383775,1.2356328597376975,-0.4252564753157582
tRF-30-PS5P4PW3FJHP,-0.4093464389742622,-1.2083781046761843,0.9873860790243736,0.6303384646260736,-0.4357411522070526,-0.6414997649435832,1.492135981012899,-0.41489506386226327,1.4546541295801083,-0.31650716226028736,-0.308194852948401,-0.82995211437142,-0.19140176286256586,-1.2130278123177973,0.19936407619764854,1.2050654989827145,-0.7748134966737066,1.46919928197635,-0.3511744625211765,-0.3432113227814672,0.8101042861036475,0.9201962316568244,-0.8651502588802361,-0.8651502588802361
tRF-30-PSQP4PW3FJI0,1.4671435452377934,-0.49795554722562246,-0.22977307864347946,-0.7394149193686902,-0.27733845189383644,-0.5960431234727198,1.4822572107208416,-0.6088756353542855,0.4471198261853594,-1.2445026409138695,1.0818412303087535,-0.2844584155802411,-0.0006639649285531843,-0.5742277453315654,-0.8317082487312223,1.4065999589913414,-0.16063305165511185,-0.9430612480561259,1.4108471357471346,-0.30715283603589705,0.006061173774941415,-1.3514125959036294,1.0391876708239418,0.3061637513047461
tRF-30-PW5SVP9N15WV,1.0041964747747427,-0.9449682728474308,0.7109500128745556,-0.7701782148018679,1.3334563584811938,-0.8214617017635676,0.20008684605862828,-0.7120815027762541,0.7459806503705293,-0.7327924912013767,0.9697360567782491,-0.9829242159474014,-0.37212324120130263,-0.5445064143152794,-0.5772845386573924,1.4939141941739746,0.1731033117108664,-0.7691558062911801,1.3470246507626282,-0.7509721561823144,-0.5214997803310105,-0.5597318771223138,1.4972263179824008,-0.4159946605290763
tRF-30-Q1Q89P9L8422,1.3853157549133388,0.08056890048338447,-0.7329423276983617,-0.7329423276983617,-0.24157597775149406,-0.9858534120956921,1.3936001491097747,-0.16617075926258804,-0.9916418826399479,1.0100856723780927,0.6965412468296291,-0.7149850365677741,0.5187307561366055,-0.7423532022449654,-0.926173995181814,1.1497964412901738,-0.5792097992190202,-0.5073587581986283,1.4963812003236914,-0.40981264290604325,-0.4768861547731813,0.0565101700806703,1.3679937212597904,-0.9476177365672797
tRF-30-R8WP9N1EWJQ7,-1.3587108456315633,0.8822936925633392,0.600131238270908,-0.12371408520268475,-0.7337563908004583,1.4216859287655685,-0.024757035439785684,-0.6631725025253244,-0.8615030850851902,1.414844492215626,-0.503534253759229,-0.049807153371206364,0.4574750542215219,0.6742657805532494,-1.4866482335275184,0.3549073987527477,0.800945314736356,0.639793394403448,-1.3953830586058567,-0.04535565053394756,0.4476761037197017,0.9557632500991636,-0.03042178997901998,-1.3730175638398452
tRF-30-R9J89O9NF5W8,1.246708319210144,-0.867679998868922,0.3677194320349829,-0.7467477523762055,0.22070089519269478,-0.8366978751336932,1.3232574817946765,-0.7072605018536785,1.2612799987701713,-0.7715132698137217,0.3441855257236371,-0.8339522546800865,-0.426179904319691,-0.5223613925593421,-0.5493611136641815,1.4979024105432148,0.01537213790100187,-0.7879097029788763,1.406208695622023,-0.6336711305441489,-0.43922646901859436,-0.777991484185238,1.4633017830089448,-0.24608382980511295
