Trfs,Ester_24h_CNT_F_T_S29_R1_001.flexbar_q.fastq,Ester_24h_CNT_F_T_S30_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_T_S41_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_T_S42_R1_001.flexbar_q.fastq,Ester_24h_LPS_F_T_S31_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_T_S43_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_T_S44_R1_001.flexbar_q.fastq,Ester_24h_PS_F_T_S32_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_T_S25_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_T_S26_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_T_S37_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_T_S38_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_T_S27_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_T_S28_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_T_S39_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_T_S40_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_T_S33_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_T_S34_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_T_S45_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_T_S46_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_T_S35_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_T_S36_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_T_S47_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_T_S48_R1_001.flexbar_q.fastq,Pearson_correlation,p_values
tRF-22-8BWSNKP92,16.3,113.59,12.23,32.65,27.85,63.16,64.42,23.87,114.35,15.16,56.52,51.0,13.43,13.46,73.98,33.29,45.04,28.14,60.36,27.37,23.89,29.89,118.33,20.22,0.040943523147584995,0.849346040336576
tRF-22-8EKSP1852,307.42,1266.94,346.65,1001.42,476.03,666.68,575.72,525.07,1061.78,424.36,1252.77,482.22,563.98,421.75,764.42,427.2,527.66,472.81,897.87,540.55,286.65,324.48,903.59,579.72,-0.19007097820846258,0.3736838265333849
tRF-22-8EKSPM852,116.45,410.66,138.66,337.43,126.61,182.46,173.12,186.16,196.02,191.97,320.26,157.65,134.28,148.06,328.78,249.66,148.0,163.23,241.44,143.69,82.69,128.08,215.14,148.3,-0.31210444020784267,0.13761025227170526
tRF-22-8LHYD3MUN,13.97,52.43,4.08,21.77,5.06,7.02,8.05,19.09,16.34,0.0,47.1,13.91,40.28,0.0,32.88,22.19,38.61,22.51,30.18,6.84,7.35,4.27,0.0,26.96,-0.2980000744554193,0.1572637208178807
tRF-22-8RQFR9OM3,11.64,61.16,20.39,21.77,20.26,35.09,40.26,33.41,32.67,30.31,56.52,46.37,40.28,22.43,65.76,49.93,38.61,33.77,45.27,0.0,11.02,12.81,64.54,40.45,-0.07169191652546858,0.7392122748040983
tRF-22-8XF6RE98N,25.62,52.43,12.23,76.19,10.13,21.05,12.08,28.64,81.68,20.21,9.42,18.55,67.14,8.97,16.44,55.48,70.78,39.4,37.73,27.37,16.54,55.5,21.51,26.96,-0.12022459608411107,0.5757712373111032
tRF-22-9MVH7P593,44.25,166.01,20.39,76.19,37.98,49.12,32.21,42.96,32.67,20.21,65.94,92.73,13.43,31.41,57.54,99.87,122.26,112.57,37.73,34.21,20.21,59.77,64.54,128.08,0.047429533040712006,0.8258121809705946
tRF-22-9N1EWJQ72,25.62,69.9,32.63,76.19,12.66,35.09,12.08,14.32,98.01,5.05,56.52,46.37,40.28,22.43,65.76,61.03,51.48,67.54,60.36,68.42,20.21,38.43,21.51,107.85,-0.053759980596466694,0.8029821222942528
tRF-22-DRFU8U76F,34.93,209.7,44.86,54.42,43.05,63.16,64.42,85.92,81.68,80.83,188.39,64.91,134.28,53.84,156.17,94.32,141.57,157.6,203.72,75.27,36.75,76.85,204.38,141.56,0.04443918886029628,0.8366455327436375
tRF-22-HENBRRX35,11.64,43.69,8.16,65.31,10.13,35.09,32.21,4.77,130.68,35.36,84.77,4.64,134.28,17.95,65.76,38.84,70.78,61.92,30.18,109.48,9.19,17.08,43.03,53.93,-0.23545144488268288,0.2680531904335789
